Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG-1	SMG-2	SMG-3
HC660_RS00930	253	124	176	205	195	250
HC660_RS00935	225	84	148	162	273	252
HC660_RS00940	17	2	1	2	4	1
HC660_RS00945	22	6	1	3	7	1
HC660_RS00950	7	0	0	0	0	0
HC660_RS00955	2	0	0	0	1	0
HC660_RS00960	46	49	53	26	32	18
HC660_RS00965	20	7	11	1	9	4
HC660_RS00970	5	2	2	4	0	2
HC660_RS00975	3	0	1	0	0	9
HC660_RS00980	4	1	1	3	6	3
HC660_RS00985	2	0	1	1	0	0
HC660_RS00990	2	1	2	1	1	0
HC660_RS00995	0	1	0	0	0	0
HC660_RS01000	4	0	0	0	0	0
HC660_RS01005	2	1	0	0	0	0
HC660_RS01010	3	0	0	0	3	0
HC660_RS01015	121	59	77	66	139	98
HC660_RS01020	180	133	114	228	158	207
HC660_RS01025	1225	1613	1939	2179	1243	1734
HC660_RS01030	1675	1513	2343	2589	1537	1820
HC660_RS01035	1893	1719	2404	3159	1561	2192
HC660_RS01040	4949	10056	10266	13523	5882	8652
HC660_RS01045	748	1041	1064	1237	666	975
HC660_RS01050	153	56	91	60	140	68
HC660_RS01055	167	36	105	71	161	68
HC660_RS01060	89	45	50	36	96	31
HC660_RS01065	92	60	70	70	153	34
HC660_RS01070	116	69	75	115	104	64
HC660_RS01075	207	207	130	243	133	100
HC660_RS01080	34	9	13	28	21	32
HC660_RS01085	83	60	76	96	48	74
HC660_RS01090	5	0	0	2	3	0
HC660_RS01095	22	7	11	10	4	3
HC660_RS01100	53	9	19	11	12	15
HC660_RS01105	38	18	10	16	2	6
HC660_RS01110	1	0	0	0	10	1
HC660_RS01115	2955	2851	3828	3736	2179	3110
HC660_RS01120	2859	2502	3538	3710	2152	3220
HC660_RS01125	705	423	446	506	468	460
HC660_RS01130	1513	1194	1010	1263	1614	1647
HC660_RS01135	1633	1856	1579	1701	1661	2351
HC660_RS01140	2355	5890	2326	5708	3223	4109
HC660_RS21260	0	0	0	0	0	0
HC660_RS01150	0	0	0	0	0	0
HC660_RS01155	0	0	0	0	0	0
HC660_RS01160	0	0	0	0	0	0
HC660_RS01165	106	20	29	45	151	53
HC660_RS01170	140	57	60	129	179	113
HC660_RS01175	42	36	26	39	99	59
HC660_RS01180	51	2	12	39	160	44
HC660_RS01185	76	26	37	124	213	83
HC660_RS01190	5	0	0	1	4	1
HC660_RS01195	84	40	90	81	71	140
HC660_RS01200	32	6	4	20	73	8
HC660_RS21310	17	0	0	1	10	2
HC660_RS01205	67	34	20	40	113	36
HC660_RS01210	30	16	14	43	106	34
HC660_RS01215	112	50	52	101	128	102
HC660_RS01220	82	65	64	81	51	130
HC660_RS01225	181	85	97	115	114	140
HC660_RS01230	0	0	0	0	0	0
HC660_RS01235	6	1	0	1	10	8
HC660_RS01240	451	343	254	371	402	598
HC660_RS01245	4	1	4	2	10	1
HC660_RS01250	8	5	5	4	17	2
HC660_RS01255	98	87	57	111	83	76
HC660_RS01260	66	7	6	5	30	35
HC660_RS01265	405	1331	786	910	201	949
HC660_RS01270	2264	1188	1200	1989	1260	1585
HC660_RS01275	0	0	0	0	0	0
HC660_RS01280	937	539	951	710	615	488
HC660_RS01285	888	277	680	367	511	413
HC660_RS01290	20	0	1	3	30	4
HC660_RS01295	57	21	17	29	78	18
