Geneid	Ctrl13-1	Ctrl13-2	Ctrl13-3	Ctrl19_5-1	Ctrl19_5-2	Ctrl19_5-3	Ctrl-1	Ctrl-2	Ctrl-3	Ctrl6_5-1	Ctrl6_5-2	Ctrl6_5-3
HC660_RS00465	320	250	408	358	370	345	561	327	339	505	491	461
HC660_RS00470	147	147	192	189	179	157	152	89	159	184	204	184
HC660_RS00475	2644	2275	2636	2940	2715	2666	3238	2150	2770	2853	2463	3300
HC660_RS00480	3743	3389	3226	3889	2981	2814	3742	3405	3636	4637	3896	5119
HC660_RS00485	1	0	0	0	2	4	1	1	2	0	2	0
HC660_RS00490	75	60	119	114	32	6	396	159	91	48	158	52
HC660_RS00495	0	0	2	0	0	0	6	0	0	0	0	0
HC660_RS00500	0	0	2	2	0	0	0	0	0	0	0	0
HC660_RS00505	16	36	58	12	43	17	64	12	25	30	37	25
HC660_RS00510	37	118	113	28	34	89	109	62	83	130	101	90
HC660_RS00515	45	75	122	46	103	78	164	48	107	152	75	83
HC660_RS00520	29	61	81	31	39	52	121	34	57	70	77	63
HC660_RS00525	69	73	85	49	44	67	117	37	90	123	99	124
HC660_RS00530	8	29	32	16	15	15	35	4	17	17	30	20
HC660_RS00535	11	13	15	4	5	16	20	4	16	15	11	4
HC660_RS00540	63	25	65	43	41	44	116	25	50	87	38	51
HC660_RS00545	7	4	4	3	3	17	14	2	1	0	2	2
HC660_RS00550	0	2	0	0	1	0	0	0	0	0	0	0
HC660_RS00555	0	0	1	0	0	0	7	0	0	0	0	0
HC660_RS00560	385	526	549	557	683	611	886	697	723	354	301	433
HC660_RS00565	386	359	381	410	553	562	629	397	536	371	391	332
HC660_RS00570	1000	983	1076	1221	1790	1818	1392	1084	1475	1244	937	915
HC660_RS00575	5143	4762	4937	6080	7669	7169	5199	6037	7384	8181	5270	6572
HC660_RS00580	578	493	1238	909	1616	1522	1542	604	1017	1085	1125	1163
HC660_RS00585	915	712	1113	1051	1422	1410	1341	600	852	833	852	998
HC660_RS00590	1101	1315	1207	1616	1823	2090	1454	1672	1512	1319	1091	1545
HC660_RS00595	886	951	774	1240	1246	1180	1011	768	956	975	796	1115
HC660_RS00600	145	138	227	239	278	292	246	120	138	137	197	257
HC660_RS00605	6168	5643	3784	6931	4064	4528	4535	5001	4032	5310	4479	6377
HC660_RS00610	105	78	171	136	145	117	177	80	61	99	212	109
HC660_RS00615	631	331	515	411	335	372	717	392	267	425	573	406
HC660_RS00620	94	66	144	69	108	115	231	84	71	103	147	75
HC660_RS00625	108	40	225	88	138	204	282	121	136	198	227	179
HC660_RS00630	60	36	120	51	104	115	133	117	87	145	143	94
HC660_RS00635	364	232	418	299	604	551	607	185	261	319	296	345
HC660_RS00640	201	140	130	169	158	170	277	120	158	163	135	218
HC660_RS00645	291	351	240	265	242	296	979	230	229	262	209	432
HC660_RS00650	392	205	257	350	549	713	535	179	285	358	383	643
HC660_RS00655	23364	15845	13776	19589	19283	23701	18452	14770	18435	20187	17102	27100
HC660_RS00660	25326	18712	14649	20435	15978	17441	17923	17651	18776	25768	21210	33116
HC660_RS00665	39070	33700	23715	30412	23083	26316	28801	29319	31613	37301	28947	45823
HC660_RS00670	29485	24610	16924	22122	16608	18743	17196	21704	23616	29219	19633	32433
HC660_RS00675	925	757	1190	786	869	756	1453	751	803	1029	1647	1623
HC660_RS00680	19474	14372	22921	17684	23128	22004	27707	12612	19098	24458	35514	32204
HC660_RS00685	59305	50485	52263	45641	54182	45971	68728	45255	57810	79311	73708	75097
HC660_RS00690	8661	5648	8726	6603	7050	7167	11954	5785	6682	9029	9355	12399
HC660_RS00695	20215	11007	16882	12600	12638	14297	20543	12973	12650	19693	21345	24549
HC660_RS00700	30921	14858	19156	14573	14551	15845	24197	17463	16129	26522	25030	27688
HC660_RS00705	142669	84107	106282	78127	92768	102764	155436	103081	107507	191673	136643	164776
HC660_RS00710	176027	141658	112082	125535	112910	116573	135555	149475	158611	221520	139348	181080
HC660_RS00715	418	329	575	381	211	243	547	320	255	574	462	496
HC660_RS00720	11267	7112	11135	10410	8409	10233	13914	10162	10129	14168	14582	17103
HC660_RS00725	25916	14452	19686	16094	13745	14616	31815	16114	15271	22464	24929	25330
HC660_RS00730	23325	13561	17976	12889	12075	13301	29290	14301	14706	22725	24021	22497
HC660_RS00735	11978	7182	9890	7214	6823	6529	15297	6932	8027	11829	12521	11937
HC660_RS00740	33500	20299	31301	21525	21346	23673	49247	21075	24634	41488	41322	38524
HC660_RS00745	7739	4759	9459	5654	6294	5848	16995	6395	6936	11856	12475	10613
HC660_RS00750	7733	4937	10467	5667	5949	6270	14233	5995	6722	11471	12660	10322
HC660_RS00755	16921	11074	21657	12747	13280	13057	29508	11413	13797	23758	27162	20644
HC660_RS00760	9675	6459	15542	7133	8153	7681	20955	6646	8582	14640	17838	12885
HC660_RS00765	4406	2975	6922	2879	3555	3133	8367	2930	4118	6675	7792	5632
HC660_RS00770	9451	6372	13725	7347	7421	6929	17992	6540	8502	13564	16028	11677
HC660_RS00775	13283	8690	15274	8863	8477	8094	21162	9301	9049	14827	18082	12379
HC660_RS00780	10350	6863	11979	6610	6129	6228	14393	6910	7735	12030	14050	9276
HC660_RS00785	21808	16134	26777	15444	14786	12547	37791	12616	14404	24087	29219	18891
HC660_RS00790	7000	4949	8861	4587	4401	4025	10554	4265	4779	8135	9838	6443
HC660_RS00795	15629	10403	16031	9477	9151	7691	24825	8047	8833	14083	17994	11865
HC660_RS00800	23468	16326	25833	14885	15046	12383	42155	13285	14541	23330	30635	18660
HC660_RS00805	14005	10233	15539	9270	8757	7376	23941	8156	8716	14085	17258	10905
HC660_RS00810	17578	13056	21213	11556	12381	10326	32821	9844	11928	19054	23647	14317
HC660_RS00815	5880	4233	7373	3536	4035	3363	7566	3655	4165	6250	7132	5153
HC660_RS00820	12802	9531	17914	9204	10351	9362	23103	8766	10966	16522	18947	12284
HC660_RS00825	32593	24816	47014	24822	28360	24199	65626	20141	26036	38740	45320	30090
HC660_RS00830	19878	16342	29065	15821	17208	13401	33575	14565	15555	23500	27916	19984
HC660_RS00835	26668	22106	36732	22431	22286	18830	42359	17033	20344	30676	35301	25495
HC660_RS20940	11876	9464	15717	9269	8957	7673	15110	8508	9303	13252	14325	11692
HC660_RS00845	7528	6568	9487	6273	6508	4860	10978	4682	6107	8646	10190	7601
HC660_RS00850	2985	2516	4258	1801	2012	1606	4472	1910	2352	3545	4149	3041
HC660_RS00855	20178	18118	23850	17385	16707	14163	26310	13857	16218	22062	24630	19220
HC660_RS00860	23348	20545	25098	19100	18100	15341	29860	17444	18229	27405	28144	20959
HC660_RS00865	63319	53701	59438	50173	45335	39320	66572	44088	47821	69153	64650	56735
HC660_RS00870	21898	19833	19781	16777	14528	13226	21331	15074	17955	25000	21767	20448
HC660_RS00875	706	683	1472	966	628	525	1451	446	694	979	1038	1011
HC660_RS00880	789	801	1749	1019	768	693	1526	601	966	1119	1275	1070
HC660_RS00885	607	588	1396	887	718	652	1346	529	822	1076	1106	923
HC660_RS00890	2498	2626	4122	3404	2412	2044	3611	2040	2073	3433	3936	3692
HC660_RS00895	9816	9451	10097	10179	7559	8826	11861	9032	8249	11654	12435	14712
HC660_RS00900	11598	9614	8619	9910	6393	7673	11600	9742	8286	12381	11128	13985
HC660_RS00905	293	345	268	515	216	254	389	222	279	221	171	208
HC660_RS00910	0	4	20	0	0	1	21	0	0	2	13	2
HC660_RS00915	6	0	27	6	8	5	26	1	10	4	9	3
HC660_RS00920	7872	7757	5236	8867	8082	6191	5273	6568	5964	6073	4277	6278
HC660_RS00925	495	521	314	544	724	566	565	204	378	378	283	356
HC660_RS00930	239	253	191	311	491	478	253	124	176	220	158	248
HC660_RS00935	205	212	139	204	313	263	225	84	148	166	113	181
HC660_RS00940	4	2	2	2	0	3	17	2	1	1	0	0
HC660_RS00945	3	2	6	3	3	3	22	6	1	1	4	2
HC660_RS00950	0	0	4	0	0	0	7	0	0	0	0	0
HC660_RS00955	2	0	0	2	0	2	2	0	0	0	0	0
HC660_RS00960	13	70	43	11	25	32	46	49	53	48	31	29
HC660_RS00965	2	9	11	3	6	5	20	7	11	8	2	7
HC660_RS00970	1	3	10	6	4	6	5	2	2	4	5	13
HC660_RS00975	1	6	4	2	1	1	3	0	1	3	0	0
HC660_RS00980	2	4	8	1	6	9	4	1	1	0	1	0
HC660_RS00985	1	1	1	2	0	1	2	0	1	0	0	0
HC660_RS00990	2	0	0	0	0	0	2	1	2	0	0	1
HC660_RS00995	0	0	0	0	0	0	0	1	0	0	0	0
HC660_RS01000	1	0	0	0	0	0	4	0	0	0	0	1
HC660_RS01005	1	1	1	2	0	0	2	1	0	1	0	0
HC660_RS01010	0	0	0	0	0	0	3	0	0	0	0	0
HC660_RS01015	65	61	110	130	83	99	121	59	77	46	106	111
HC660_RS01020	161	196	116	276	193	195	180	133	114	131	118	142
HC660_RS01025	1549	1247	878	1077	2723	1268	1225	1613	1939	1845	1811	2844
HC660_RS01030	1965	1581	1118	1070	3279	1370	1675	1513	2343	2055	2201	3244
HC660_RS01035	2248	1713	943	1223	3142	1537	1893	1719	2404	2337	2218	3574
HC660_RS01040	10134	6930	3578	4755	10009	5751	4949	10056	10266	9805	6057	13441
HC660_RS01045	1222	1075	598	710	1016	500	748	1041	1064	1131	840	1349
HC660_RS01050	42	52	92	62	92	56	153	56	91	88	82	109
HC660_RS01055	58	52	117	75	118	58	167	36	105	117	106	78
HC660_RS01060	38	41	66	44	48	38	89	45	50	54	74	57
HC660_RS01065	50	38	74	61	116	39	92	60	70	59	81	44
HC660_RS01070	74	82	64	78	85	46	116	69	75	79	59	71
HC660_RS01075	172	131	107	187	146	97	207	207	130	88	113	141
HC660_RS01080	18	23	15	24	18	18	34	9	13	14	21	11
HC660_RS01085	58	69	63	67	58	49	83	60	76	53	66	62
HC660_RS01090	0	0	1	0	0	0	5	0	0	0	0	2
HC660_RS01095	0	3	9	8	9	6	22	7	11	8	2	3
HC660_RS01100	9	19	11	10	11	8	53	9	19	18	10	10
HC660_RS01105	4	19	14	18	3	12	38	18	10	18	23	12
HC660_RS01110	1	0	5	0	0	3	1	0	0	2	0	1
HC660_RS01115	4337	4391	3630	4435	4106	2546	2955	2851	3828	3585	2456	3826
HC660_RS01120	4068	4139	3570	4000	3814	2285	2859	2502	3538	3856	2382	4005
HC660_RS01125	411	345	416	507	473	452	705	423	446	444	418	502
HC660_RS01130	1056	770	1003	1280	1224	1330	1513	1194	1010	1224	1042	1693
HC660_RS01135	1800	1177	1278	1940	1706	1935	1633	1856	1579	1778	1734	2640
HC660_RS01140	7836	5982	1898	4396	1958	1903	2355	5890	2326	3535	3617	4909
HC660_RS21260	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01150	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01155	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01160	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01165	31	31	56	42	53	29	106	20	29	36	61	55
HC660_RS01170	86	84	107	113	89	79	140	57	60	97	109	139
HC660_RS01175	23	15	36	30	14	31	42	36	26	16	43	39
HC660_RS01180	10	9	17	12	15	20	51	2	12	24	5	21
HC660_RS01185	29	50	39	36	22	35	76	26	37	23	13	41
HC660_RS01190	0	0	3	1	1	3	5	0	0	1	0	0
HC660_RS01195	32	64	42	74	75	92	84	40	90	41	35	47
HC660_RS01200	11	9	25	4	20	13	32	6	4	13	20	3
HC660_RS21310	0	2	4	1	2	1	17	0	0	5	1	0
HC660_RS01205	25	31	51	46	28	43	67	34	20	27	27	24
HC660_RS01210	14	23	28	25	20	21	30	16	14	19	23	24
HC660_RS01215	73	84	65	72	74	116	112	50	52	99	45	71
HC660_RS01220	89	77	66	113	53	94	82	65	64	44	57	79
HC660_RS01225	117	136	87	178	112	99	181	85	97	73	76	132
HC660_RS01230	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01235	3	1	5	0	0	2	6	1	0	4	1	0
HC660_RS01240	336	202	303	340	485	551	451	343	254	436	338	565
HC660_RS01245	1	2	4	2	1	7	4	1	4	8	0	3
HC660_RS01250	1	2	7	3	4	1	8	5	5	4	5	3
HC660_RS01255	80	68	77	100	49	37	98	87	57	88	50	84
HC660_RS01260	5	4	29	4	12	45	66	7	6	14	28	8
HC660_RS01265	488	602	360	435	350	548	405	1331	786	389	284	422
HC660_RS01270	1228	1109	1175	1226	1649	1428	2264	1188	1200	1338	1015	1172
HC660_RS01275	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01280	792	846	942	955	1085	411	937	539	951	840	1222	800
HC660_RS01285	405	485	845	735	1057	446	888	277	680	498	1157	639
HC660_RS01290	4	4	13	11	0	5	20	0	1	1	11	19
HC660_RS01295	30	10	37	35	21	15	57	21	17	21	47	11
HC660_RS01300	38	15	61	51	76	71	104	17	26	54	52	64
HC660_RS01305	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01310	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01315	165	141	134	239	129	124	285	206	102	143	98	208
HC660_RS01320	200	187	385	310	401	280	453	354	292	326	349	440
HC660_RS01325	329	293	249	402	388	311	634	335	273	267	166	192
HC660_RS01330	151	137	82	162	152	95	166	144	119	129	80	103
HC660_RS01335	225	243	357	194	471	335	341	209	278	339	218	274
HC660_RS01340	317	284	211	340	393	443	386	205	220	296	256	304
HC660_RS01345	274	179	172	186	289	308	199	148	194	289	211	349
HC660_RS01350	426	307	254	430	417	469	355	357	337	383	419	602
HC660_RS01355	30	20	11	14	33	36	33	18	41	14	26	60
HC660_RS01360	949	996	572	739	1677	681	521	704	971	765	367	729
HC660_RS01365	69	45	125	75	123	79	79	90	74	88	59	87
HC660_RS01370	3102	2650	1563	3190	2241	2363	1825	2711	1932	2668	1592	3172
HC660_RS01375	62	65	125	91	72	60	143	39	85	65	80	48
HC660_RS01380	241	257	445	311	473	409	536	252	371	320	355	427
HC660_RS01385	308	247	338	297	332	364	408	319	398	311	280	367
HC660_RS01390	47	45	50	64	68	86	73	48	53	71	65	112
HC660_RS01395	51	28	46	39	28	56	49	42	50	38	31	56
HC660_RS01400	54	38	54	67	46	58	85	98	35	80	35	70
HC660_RS01405	114	92	86	124	113	137	207	88	69	110	98	121
HC660_RS01410	135	84	97	162	114	163	175	128	124	123	81	180
HC660_RS01415	4	13	39	7	5	11	50	8	7	9	3	7
HC660_RS01420	2	6	12	3	2	2	23	4	0	8	10	6
HC660_RS01425	72	67	172	87	123	138	278	69	98	81	111	100
HC660_RS01430	150	90	229	135	181	199	288	151	132	154	160	187
HC660_RS01435	8	10	29	9	27	14	76	7	18	9	26	8
HC660_RS01440	21	19	61	20	56	18	125	30	38	25	35	34
HC660_RS01445	7	9	44	11	16	17	98	11	5	17	36	8
HC660_RS01450	6	4	26	1	11	5	39	2	4	14	15	4
HC660_RS01455	111	65	108	160	75	89	175	54	75	86	68	104
HC660_RS01460	42	44	117	40	45	38	159	20	23	20	56	32
HC660_RS01465	223	189	115	179	105	94	159	125	119	102	104	114
HC660_RS01470	12	6	19	9	12	23	17	32	16	20	10	16
HC660_RS01475	4	12	15	18	14	21	20	13	13	5	5	17
HC660_RS01480	13	18	35	11	19	24	38	23	19	37	18	22
HC660_RS01485	79	46	65	47	64	82	127	54	47	55	36	111
HC660_RS01490	84	45	55	80	70	66	83	61	62	92	36	74
HC660_RS01495	77	69	63	57	88	88	75	73	88	93	50	108
HC660_RS20945	0	0	0	0	0	0	0	0	1	3	0	0
HC660_RS01500	315	294	106	204	208	277	139	470	328	204	90	157
HC660_RS01505	0	1	4	2	8	6	12	3	3	3	7	12
HC660_RS01510	319	321	181	447	290	329	177	404	239	274	149	297
HC660_RS21265	2	0	1	0	0	6	5	0	0	0	0	1
HC660_RS01515	29	46	59	31	73	26	91	27	30	36	46	32
HC660_RS01520	5	10	7	12	9	7	13	5	7	6	3	4
HC660_RS01525	93	82	98	79	70	51	140	79	55	75	91	53
HC660_RS01530	92	98	107	132	82	86	143	125	100	106	89	95
HC660_RS01535	38	24	37	32	16	36	79	22	35	36	30	28
HC660_RS01540	100	64	118	88	88	111	151	149	55	76	175	215
HC660_RS01545	28	22	47	28	40	41	88	19	32	30	92	78
HC660_RS01550	26	11	28	9	15	27	38	11	16	28	11	37
HC660_RS01555	32	25	34	51	48	15	26	16	25	23	27	52
HC660_RS01560	1	4	14	8	9	8	26	0	9	3	3	1
HC660_RS01565	1361	965	895	1263	1011	1336	1253	1183	843	998	1104	1970
HC660_RS01570	115	172	122	150	191	180	150	102	103	107	107	142
HC660_RS01575	266	299	210	270	316	243	240	202	257	169	132	216
HC660_RS01580	28	18	42	20	21	41	46	28	28	10	31	52
HC660_RS01585	199	156	287	137	107	109	195	130	135	157	213	225
HC660_RS01590	256	305	258	252	185	204	245	280	222	209	197	238
HC660_RS01595	363	296	384	611	375	458	510	597	607	537	456	611
HC660_RS01600	1	1	1	3	4	1	4	2	3	9	0	1
HC660_RS01605	133	84	155	122	173	150	173	131	155	170	137	182
HC660_RS01610	89	59	148	111	157	121	202	77	114	89	131	152
HC660_RS01615	48	29	61	43	82	51	78	29	27	41	56	64
HC660_RS01620	236	291	228	383	363	300	305	174	258	204	191	242
HC660_RS01625	31	37	66	41	44	56	132	151	58	87	44	53
HC660_RS01630	328	419	290	485	396	485	516	914	734	669	421	538
HC660_RS01635	1585	1282	991	1687	1645	964	1131	1624	1116	1377	968	1710
HC660_RS01640	43	26	83	43	40	63	77	58	28	57	60	98
HC660_RS01645	144	95	157	160	131	135	228	154	73	167	200	275
HC660_RS01650	41	34	104	56	107	70	221	28	67	45	109	69
HC660_RS01655	2093	2256	2936	2638	3800	2414	3445	1748	2153	1890	1672	1991
HC660_RS01660	4787	4262	4366	4285	6302	3586	4504	4176	4032	4180	3088	4364
HC660_RS01665	4750	4922	3753	3819	5648	3085	4303	3820	3747	4266	3192	3848
HC660_RS01670	8930	9439	6886	7404	9671	5188	6956	6663	6854	7532	5195	6736
HC660_RS01675	691	655	1133	658	1058	431	1429	422	580	626	920	591
HC660_RS01680	579	550	1240	591	898	341	1648	481	539	538	924	586
HC660_RS01685	260	241	815	305	437	203	1184	252	241	312	509	256
HC660_RS01690	103	55	421	134	180	160	775	99	117	164	288	155
HC660_RS01695	1132	995	1747	1351	1357	802	2818	735	868	1110	1611	1079
HC660_RS01700	1874	1480	1799	1674	1364	1057	1944	1370	1307	1589	1462	1548
HC660_RS01705	61	47	135	101	81	115	161	75	73	142	153	109
HC660_RS01710	1361	644	1207	1836	1017	1592	1569	1635	1069	1622	1702	2933
HC660_RS01715	1371	840	1301	1758	964	1410	1736	1671	1185	1669	1889	2813
HC660_RS01720	2785	1911	2504	3307	1732	2348	2253	3391	2410	3261	2937	5280
HC660_RS01725	166	173	218	253	130	153	321	268	212	340	189	224
HC660_RS01730	69	77	120	78	66	89	138	52	84	122	63	99
HC660_RS01735	23	35	63	62	81	81	129	41	58	43	39	49
HC660_RS01740	28911	25387	16927	19130	37623	44002	11227	14084	47073	49471	14553	21787
HC660_RS01745	11869	13884	17123	13245	29674	29453	12088	5953	25468	24688	13748	11872
HC660_RS01750	587	474	687	545	826	824	612	376	641	677	728	741
HC660_RS01755	101	63	154	83	229	203	130	87	157	212	99	102
HC660_RS01760	277	120	251	169	318	358	242	133	240	277	192	227
HC660_RS01765	186	109	176	126	286	263	202	109	175	226	128	223
HC660_RS01770	22	17	44	24	40	39	50	11	24	28	30	25
HC660_RS01775	2	0	11	4	8	5	15	1	4	3	9	1
HC660_RS01780	1294	1327	833	1502	1249	1572	1146	2417	1926	1719	827	1698
HC660_RS01785	27	39	36	73	44	47	68	67	47	21	20	50
HC660_RS01790	18	55	40	60	59	78	57	132	94	89	33	73
HC660_RS01795	64	80	53	96	65	74	88	70	65	75	44	65
HC660_RS01800	0	0	0	0	0	0	3	0	0	0	0	0
HC660_RS01805	7	7	19	8	26	15	29	7	5	17	19	15
HC660_RS01810	302	106	215	546	338	392	411	153	110	122	130	187
HC660_RS01815	99	33	72	78	93	104	93	86	64	64	43	129
HC660_RS01820	183	135	105	470	79	67	290	511	112	170	136	103
HC660_RS01825	519	373	287	803	264	248	572	1105	296	632	401	417
HC660_RS01830	177	151	392	269	206	132	524	161	178	238	442	271
HC660_RS01835	396	413	281	511	291	283	560	401	274	284	232	308
HC660_RS01840	212	123	177	199	115	167	166	105	111	111	170	273
HC660_RS01845	134	92	99	98	88	102	122	95	34	87	99	121
HC660_RS01850	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01855	27	16	74	20	51	42	158	44	43	64	85	49
HC660_RS01860	491	375	1269	574	800	481	1607	301	809	903	1297	597
HC660_RS01865	430	270	407	231	307	290	429	137	599	718	389	313
HC660_RS01870	728	515	1339	756	1326	1374	1536	400	2065	2748	1775	1267
HC660_RS01875	23	13	82	20	49	39	127	36	47	52	70	56
