Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG13-1	SMG13-2	SMG13-3	SMG19_5-1	SMG19_5-2	SMG19_5-3	SMG6_5-1	SMG6_5-2	SMG6_5-3
HC660_RS12590	1139	1047	827	1630	1191	1015	964	862	957	1365	1492	1829
HC660_RS12595	602	416	381	403	342	377	357	294	347	540	533	645
HC660_RS12600	247	172	133	268	201	210	182	176	160	226	242	282
HC660_RS12605	432	338	332	401	312	360	210	295	255	553	368	479
HC660_RS12610	1752	1106	1123	1352	1246	1315	1071	1122	960	1676	1686	1728
HC660_RS12615	2221	2682	2331	1676	1146	1546	1723	2223	1814	2589	2464	2429
HC660_RS12620	72	37	34	17	40	58	12	44	27	30	28	38
HC660_RS12625	11	3	9	5	11	21	2	8	6	14	5	2
HC660_RS12630	1791	2382	2741	1405	1200	2100	729	1439	1254	2858	931	1984
HC660_RS12635	5255	5415	6738	3021	3324	6532	1872	4362	3782	7673	2681	5305
HC660_RS12640	7114	4660	8216	3276	3673	7033	2414	5533	4436	8797	2880	5534
HC660_RS12645	20766	29927	36179	34258	19552	19411	21127	31953	26774	39389	31507	32437
HC660_RS12650	6801	24825	26426	26432	13423	13553	14728	24067	19232	23460	27123	22545
HC660_RS12655	71	21	33	110	96	46	45	37	35	52	70	104
HC660_RS12660	1556	2119	1846	3861	2234	1688	2292	1902	2026	3071	3177	3968
HC660_RS12665	509	279	309	799	527	409	532	380	351	356	645	932
HC660_RS12670	765	580	521	1460	1011	827	875	692	675	751	1451	1740
HC660_RS12675	1094	752	779	1384	1107	1082	611	725	748	974	1200	1564
HC660_RS12680	10005	10428	11554	8464	6878	6277	4278	7602	5304	10119	6257	8429
HC660_RS12685	2139	1367	1865	929	1116	1104	795	1432	1052	2082	1338	1584
HC660_RS12690	3114	2183	3120	1018	892	1229	800	1339	690	2387	1076	1311
HC660_RS12695	409	359	353	553	442	473	253	257	250	363	384	493
HC660_RS12700	2648	2732	2348	4442	2170	2764	3371	2862	3035	3196	3657	4253
HC660_RS12705	8	1	8	5	20	8	1	5	3	6	9	5
HC660_RS12710	45	17	10	11	26	9	8	11	5	9	9	11
HC660_RS12715	20	3	7	10	23	5	6	2	2	4	8	14
HC660_RS12720	10279	21134	23127	19652	10927	12251	9640	17045	14526	24743	16844	18517
HC660_RS12725	390	304	398	518	336	426	486	426	475	536	706	585
HC660_RS12730	1	3	2	1	1	0	0	1	0	1	4	5
HC660_RS12735	38	27	30	28	26	34	28	19	28	43	34	34
HC660_RS12740	243	117	156	171	187	210	167	98	141	214	198	192
HC660_RS12745	210	93	115	156	159	127	156	146	152	139	198	239
HC660_RS12750	24	16	13	19	37	32	6	7	9	9	19	29
HC660_RS12755	48	11	21	21	42	33	23	18	16	30	25	41
HC660_RS12760	1996	1519	1311	2502	1999	1700	1344	1405	1316	2166	1838	2397
HC660_RS12765	615	578	408	919	755	653	429	453	515	669	666	984
HC660_RS12770	847	539	482	1004	775	670	441	442	467	783	703	1078
HC660_RS12775	866	339	340	823	758	674	455	429	416	623	604	871
HC660_RS12780	103	82	48	147	137	149	72	80	96	111	101	175
HC660_RS12785	515	288	225	698	706	595	293	252	375	380	460	716
HC660_RS12790	961	304	276	785	927	746	468	395	349	425	674	871
HC660_RS12795	607	84	108	186	241	214	222	151	109	113	198	281
HC660_RS12800	412	46	88	225	210	202	236	113	115	133	203	243
HC660_RS21235	30	35	24	26	10	21	37	19	19	45	24	39
HC660_RS12805	100	60	66	56	52	58	51	42	56	109	63	65
HC660_RS12810	31	11	14	12	22	23	6	12	6	7	8	10
HC660_RS12815	49	36	44	51	43	55	38	33	37	37	50	31
HC660_RS12820	26	6	13	4	11	17	5	4	1	10	12	12
HC660_RS12825	106	69	108	61	61	58	73	97	67	145	108	83
HC660_RS12830	17	8	19	9	19	17	3	7	4	9	15	12
HC660_RS12835	43	19	24	25	43	20	8	22	13	21	18	33
HC660_RS12840	4	0	0	0	3	5	1	0	1	7	0	0
HC660_RS12845	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS12850	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS12855	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS12860	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS12865	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS12870	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS12875	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS12880	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS12885	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS12890	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS12895	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS12900	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS21240	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS12905	15	3	11	17	6	3	7	4	5	17	26	4
HC660_RS12910	5	1	1	3	4	2	3	3	0	0	3	0
HC660_RS12915	53	19	27	21	13	16	14	14	13	28	12	36
HC660_RS12920	174	78	110	165	61	47	116	53	61	75	112	83
