Geneid	Ctrl13-1	Ctrl13-2	Ctrl13-3	Ctrl19_5-1	Ctrl19_5-2	Ctrl19_5-3	Ctrl-1	Ctrl-2	Ctrl-3	Ctrl6_5-1	Ctrl6_5-2	Ctrl6_5-3
HC660_RS05165	44	29	34	20	26	21	46	30	49	34	25	26
HC660_RS05170	3044	1961	1924	2155	1922	2548	1281	1636	1896	968	1542	1726
HC660_RS05175	2392	2080	1675	1614	1590	2090	1171	1251	1346	1009	1311	1591
HC660_RS05180	14170	5611	5567	6366	7680	10621	6481	8450	7764	4399	4324	7397
HC660_RS05185	69703	26624	31879	42285	40475	55759	27596	42212	42365	16479	20926	32743
HC660_RS05190	47015	8677	17459	23122	26169	36120	25560	39722	25599	28169	10774	16323
HC660_RS05195	8005	3596	5273	6476	5019	7845	4871	5501	4405	4842	2795	3853
HC660_RS05200	131	68	115	105	95	141	88	96	151	117	76	80
HC660_RS05205	112	38	88	77	85	107	49	92	107	75	60	85
HC660_RS05210	106	66	47	68	54	84	41	50	67	50	42	64
HC660_RS05215	6	6	10	6	4	16	6	12	2	5	5	9
HC660_RS05220	28	11	17	13	11	37	15	17	6	9	17	24
HC660_RS05225	1366	706	1087	1174	684	1256	559	770	781	1776	1107	1347
HC660_RS05230	85	72	102	103	64	86	132	61	111	76	53	114
HC660_RS05235	50	25	50	22	34	32	28	31	30	23	13	38
HC660_RS05240	52	35	38	34	25	46	28	28	29	43	56	45
HC660_RS05245	1081	845	978	1923	683	1917	791	1113	946	1564	1658	1188
HC660_RS05250	79	31	93	109	54	133	51	79	60	101	72	69
HC660_RS05255	87	73	87	93	87	135	49	61	137	59	62	106
HC660_RS05260	2411	834	1464	1702	818	1115	773	1023	1355	1087	200	145
HC660_RS05265	391	358	749	386	405	459	385	319	658	337	155	351
HC660_RS05270	357	289	210	244	208	359	361	248	340	291	294	437
HC660_RS05275	114	65	78	40	59	93	65	49	62	91	71	99
HC660_RS05280	13	12	12	11	7	13	12	8	7	17	22	29
HC660_RS05285	130	169	101	89	116	253	147	100	84	185	162	227
HC660_RS05290	510	440	424	489	459	1018	437	485	356	671	648	979
HC660_RS05295	59	34	49	26	36	46	92	59	57	108	68	102
HC660_RS05300	5810	3478	3903	6868	3145	5565	4318	3641	3684	1912	991	662
HC660_RS05305	391	233	321	392	326	523	360	272	279	341	419	554
HC660_RS05310	1190	931	962	1054	1056	1872	1244	910	944	1052	1076	1952
HC660_RS05315	37	17	25	20	20	44	28	33	28	38	40	53
HC660_RS05320	2484	1374	1621	1429	1172	2592	1171	1122	1663	991	887	2098
HC660_RS05325	595	285	591	270	287	384	411	426	1106	698	300	456
HC660_RS05330	159	109	156	126	79	164	93	77	73	106	78	151
HC660_RS05335	1293	736	1404	973	824	1145	722	685	2391	1060	615	1033
HC660_RS05340	21	24	14	15	10	30	33	22	24	18	11	30
HC660_RS05345	25	24	16	16	15	22	38	15	35	36	18	24
HC660_RS05350	80	41	59	34	33	58	94	65	99	82	28	80
HC660_RS05355	14	9	14	6	12	5	8	2	8	8	0	19
HC660_RS05360	676	604	313	420	360	714	644	454	553	404	477	648
HC660_RS05365	141	134	97	111	76	120	202	117	147	134	128	172
HC660_RS05370	479	366	668	390	299	377	417	413	722	931	466	522
HC660_RS05375	1783	1245	1317	1211	1215	1533	785	1103	1038	338	546	873
HC660_RS05380	826	302	398	430	349	482	543	420	887	289	192	153
HC660_RS05385	41614	12893	20631	19558	12053	14964	10612	10960	32057	11975	3973	2011
HC660_RS05390	579	796	460	338	389	900	693	479	583	153	289	951
HC660_RS05395	921	1062	707	504	752	1272	538	658	651	282	414	1391
HC660_RS05400	429	360	241	203	220	303	369	261	349	227	331	276
HC660_RS05405	2	0	0	1	2	1	1	0	1	0	0	0
HC660_RS05410	34	28	13	18	19	21	23	19	7	13	2	27
HC660_RS05415	16	7	13	12	14	16	12	11	22	10	8	13
HC660_RS05420	52	34	49	35	20	60	53	54	57	32	18	32
HC660_RS05425	13	9	16	15	8	22	6	13	13	17	9	18
HC660_RS05430	836	746	584	788	510	1258	717	588	752	463	510	930
