Geneid	Ctrl-1	Ctrl-2	Ctrl-3	SMG13-1	SMG13-2	SMG13-3	SMG19_5-1	SMG19_5-2	SMG19_5-3	SMG6_5-1	SMG6_5-2	SMG6_5-3
HC660_RS00290	431	385	552	549	354	428	344	704	398	374	604	346
HC660_RS00295	975	1032	1132	1427	1642	1418	1029	2028	1137	1038	1466	1114
HC660_RS00300	572	549	609	872	1132	988	443	1036	710	705	659	756
HC660_RS00305	1024	821	1856	1787	4194	3249	228	1008	1339	1022	523	2374
HC660_RS00310	733	1288	960	1640	820	934	1430	2690	971	1233	2056	955
HC660_RS00315	756	1371	979	1559	757	889	1914	3057	1047	971	2383	955
HC660_RS00320	13811	10927	15339	15106	17182	19604	12236	13277	20275	26153	14232	26225
HC660_RS00325	158	221	345	396	319	380	218	274	217	267	415	325
HC660_RS00330	101	134	153	187	173	214	105	176	117	187	179	152
HC660_RS00335	1585	2636	2366	2743	1897	2514	3288	4761	2448	2032	4018	2164
HC660_RS00340	214	303	266	386	281	338	334	553	280	261	466	281
HC660_RS00345	173	109	139	128	239	276	129	210	215	185	130	175
HC660_RS00350	362	671	563	708	427	575	753	1367	467	338	867	334
HC660_RS00355	122	234	221	254	176	210	249	474	185	132	320	140
HC660_RS00360	185	254	248	307	212	235	304	512	202	189	381	175
HC660_RS00365	188	270	432	312	280	335	246	507	209	195	427	163
HC660_RS00370	404	433	641	401	735	626	216	536	449	361	453	383
HC660_RS00375	1329	873	1394	1096	2341	2091	608	1169	1504	1501	805	1441
HC660_RS00380	0	0	0	0	0	1	0	0	2	0	0	0
HC660_RS00385	6	0	0	0	0	2	0	1	4	2	1	0
HC660_RS00390	69	79	62	26	23	43	65	138	88	85	194	30
HC660_RS00395	26	45	48	25	27	35	23	54	62	48	107	28
HC660_RS00400	10	4	7	9	7	5	5	2	26	21	19	11
HC660_RS00405	462	644	1287	954	816	1024	410	993	597	423	638	378
HC660_RS00410	199	334	634	460	370	410	222	519	268	237	369	272
HC660_RS00415	12498	11428	10981	15059	11172	13801	15356	22958	13834	9217	13805	9560
HC660_RS00420	314	272	285	309	295	374	224	536	301	340	416	253
HC660_RS00425	872	598	552	626	812	860	826	1446	1059	951	862	778
HC660_RS00430	34	75	64	99	56	88	29	74	62	62	86	68
HC660_RS00435	903	874	749	1335	1562	1614	962	1566	1239	978	821	1141
HC660_RS00440	271	392	547	476	289	287	317	609	272	300	610	249
HC660_RS00445	482	647	995	830	765	668	416	795	525	527	751	539
HC660_RS00450	211	405	520	405	226	277	394	641	290	273	553	234
HC660_RS00455	304	629	798	693	321	347	588	1009	423	334	911	342
HC660_RS00460	173	474	501	515	207	281	452	684	290	170	568	183
HC660_RS00465	316	567	600	464	275	361	593	1094	394	257	772	292
HC660_RS00470	90	191	223	186	132	121	250	340	140	76	300	108
HC660_RS00475	1601	2356	2642	2910	1814	2021	2493	4195	2195	1767	3199	1772
HC660_RS00480	939	1826	1431	2328	1388	1599	2671	4224	1531	828	2332	966
HC660_RS00485	9	7	12	6	6	15	5	13	16	11	8	8
HC660_RS00490	10328	2727	3610	1469	4448	8340	4718	8464	12443	8250	10744	10644
HC660_RS00495	0	0	0	0	1	0	0	0	0	0	0	0
HC660_RS00500	5	0	3	0	6	18	0	4	1	3	0	3
HC660_RS00505	32	4	35	5	80	85	2	2	19	107	7	47
HC660_RS00510	26	5	10	7	67	65	0	5	29	56	5	25
HC660_RS00515	32	11	40	1	77	86	0	6	34	79	4	48
HC660_RS00520	22	13	43	6	96	92	0	5	5	47	7	40
HC660_RS00525	37	9	40	8	123	101	2	17	29	98	15	37
HC660_RS00530	3	1	12	3	28	25	0	5	8	13	6	12
HC660_RS00535	0	0	12	0	8	12	0	4	2	4	0	2
HC660_RS00540	50	15	90	11	114	94	13	41	51	66	26	41
HC660_RS00545	32	29	38	7	14	27	23	60	48	33	30	36
HC660_RS00550	7	5	18	3	11	16	8	6	7	12	7	8
HC660_RS00555	1	0	0	0	0	0	0	0	1	0	0	0
HC660_RS00560	523	797	2095	1190	894	915	456	838	740	730	1191	1032
HC660_RS00565	480	1273	1676	1267	365	524	793	1358	868	815	1841	943
HC660_RS00570	1250	4246	4572	3900	904	1649	3670	5058	1721	1784	6164	1824
HC660_RS00575	14405	31246	26969	21210	9759	16539	29583	41820	20052	15064	35998	19485
HC660_RS00580	2003	5538	5513	3364	1363	2747	5587	7931	2995	2058	6914	2234
HC660_RS00585	1784	2924	2885	2509	1460	2594	3158	4456	2533	1888	3790	1935
HC660_RS00590	4586	5666	4963	3433	2751	4119	3838	4636	4357	3639	4470	4087
HC660_RS00595	4254	3941	3451	2905	2801	4294	3302	3637	4744	3875	3567	4318
HC660_RS00600	90	117	143	106	81	163	115	149	95	96	172	116
HC660_RS00605	2008	2922	2267	3488	2651	3028	3912	6636	2794	2308	4239	2370
HC660_RS00610	98	133	108	138	95	127	176	280	124	79	212	102
HC660_RS00615	259	493	355	511	330	373	703	1088	495	253	614	312
HC660_RS00620	70	174	91	139	70	69	208	321	96	35	202	78
HC660_RS00625	103	297	190	178	107	165	377	698	172	102	372	129
HC660_RS00630	104	209	150	165	103	145	274	486	161	102	249	92
HC660_RS00635	482	749	1188	950	1010	1207	500	977	679	807	1014	732
HC660_RS00640	219	130	211	224	244	262	87	149	140	266	213	238
HC660_RS00645	702	259	343	370	435	395	125	272	350	564	325	481
HC660_RS00650	604	314	473	452	484	671	379	768	566	898	787	582
HC660_RS00655	17141	7313	8636	10888	14712	15752	5989	13205	11841	19723	12539	16560
HC660_RS00660	15339	9932	9325	10620	11091	11305	10500	20276	13508	16768	16213	12781
HC660_RS00665	9928	8928	10486	9500	9094	8150	7941	16840	8132	5245	7695	7562
HC660_RS00670	8047	6409	7331	7026	7804	6736	6680	13197	7833	4586	5373	6992
HC660_RS00675	269	333	239	385	137	206	481	880	289	145	458	165
HC660_RS00680	9923	19650	16626	19858	9515	12308	28692	39774	13822	11216	32220	9831
HC660_RS00685	17110	42179	34635	40473	18030	22807	61589	82734	29011	13731	47090	15958
HC660_RS00690	810	2367	2734	2818	861	1191	2746	4882	1203	812	3066	751
HC660_RS00695	1928	5802	6234	7217	2251	2306	7469	14087	2267	2415	9699	1766
HC660_RS00700	4081	7817	7775	9147	3512	3503	11265	19938	4404	4114	12798	3468
HC660_RS00705	22800	56620	53613	55258	24555	21742	79612	140181	34524	23250	78925	21815
HC660_RS00710	51513	60480	48955	62516	74090	58794	77809	119736	79211	43241	54018	62107
HC660_RS00715	121	394	329	348	64	63	482	1056	110	69	456	56
HC660_RS00720	5992	8181	10662	8246	3598	3734	6535	14798	4635	5259	14975	4453
HC660_RS00725	6858	15948	18726	13975	4758	4933	14823	27329	6704	6886	27617	5285
HC660_RS00730	4654	14419	15370	11080	3761	3778	15096	27582	5540	4399	23271	3711
HC660_RS00735	2896	8694	10390	7143	2057	2065	9384	16202	3579	2432	14057	2093
HC660_RS00740	10369	28360	32152	21423	7602	7297	31328	53881	12143	8765	44506	8377
HC660_RS00745	2982	9156	9523	6036	1948	1813	9907	16037	3701	2264	12326	2315
HC660_RS00750	3240	9859	9566	6569	1977	1856	10591	18162	3445	2338	14278	2051
HC660_RS00755	4866	19326	19210	12835	3212	3468	22408	36261	5436	3781	27447	3516
HC660_RS00760	2844	13150	12319	7741	1869	1898	14992	24322	3386	1974	17606	2033
HC660_RS00765	1353	6193	5757	3671	1142	1041	6979	10574	1804	1080	8021	1162
HC660_RS00770	2922	12624	11845	7544	2346	2221	14125	22200	3365	2285	16240	2343
HC660_RS00775	3793	13671	12264	7829	2618	2333	14038	24229	4218	2520	16150	2574
HC660_RS00780	1994	9338	8209	5570	1900	1655	10461	16750	2528	1717	11224	1825
HC660_RS00785	5817	24014	24175	14248	3454	3486	24675	38135	6112	3292	25927	3898
HC660_RS00790	1695	8541	8010	4581	1129	1062	8131	12708	1786	975	8691	1141
HC660_RS00795	4066	13031	12667	7125	2133	2110	12577	21106	4176	2063	13497	2278
HC660_RS00800	4683	23207	23658	12693	3382	3209	22973	37907	5701	2815	23405	3575
HC660_RS00805	3172	14565	14430	7592	2381	2254	13881	23734	4192	2037	14380	2504
HC660_RS00810	5404	20091	21213	10828	3756	3502	19561	32290	6413	3099	19553	4123
HC660_RS00815	1946	8166	8306	3863	1377	1430	7633	12073	2414	1122	7194	1534
HC660_RS00820	5675	20744	20785	9547	3799	3896	18867	32312	6719	3702	19864	4394
HC660_RS00825	18383	43414	47067	23589	10432	10673	40323	69815	22551	9776	38224	13374
HC660_RS00830	5195	16905	19637	11520	3935	3752	17407	31477	6958	3193	16567	3989
HC660_RS00835	4644	17966	22319	14181	4418	3917	18771	36467	6089	2754	18347	3465
HC660_RS20940	1594	7512	8796	5793	1487	1371	7437	13891	2057	958	7292	1224
HC660_RS00845	1098	4396	5829	3733	867	842	4713	8636	1403	551	4457	758
HC660_RS00850	441	1726	2172	1348	344	354	1747	3223	461	215	1765	347
HC660_RS00855	3384	12404	15942	11243	3044	2951	12687	22199	4026	2066	12223	2754
HC660_RS00860	4337	14298	15914	11383	3821	3549	14113	23987	6022	2805	12559	3872
HC660_RS00865	9482	32032	32908	25703	8689	8420	31656	55255	13318	4967	25356	7504
HC660_RS00870	5579	10694	10996	9219	5364	4747	10423	15685	7551	3164	7866	5094
HC660_RS00875	490	1053	1809	650	324	285	804	1556	393	225	954	228
HC660_RS00880	840	1258	1932	802	437	466	874	1883	651	332	1066	387
HC660_RS00885	756	1077	1593	657	455	521	867	1679	716	353	832	410
HC660_RS00890	1176	1830	3109	1191	690	607	1137	2353	925	430	1367	586
HC660_RS00895	4036	5012	5418	6126	3457	3969	4097	9302	3648	2779	6106	2355
HC660_RS00900	6171	5898	5326	6675	5189	4862	6078	11205	6293	5390	6246	4398
HC660_RS00905	61	78	108	115	258	250	35	87	98	56	57	95
HC660_RS00910	0	0	2	0	2	2	0	2	7	3	1	1
HC660_RS00915	4	3	3	3	4	12	1	7	17	7	2	4
HC660_RS00920	2274	2859	3678	5274	4769	5150	1997	3368	3681	2888	2568	4007
HC660_RS00925	196	161	282	231	360	406	85	161	253	222	163	302
HC660_RS00930	228	254	273	433	475	554	217	306	480	445	305	411
HC660_RS00935	172	195	151	302	370	370	189	267	361	251	217	283
HC660_RS00940	22	16	15	15	8	17	23	31	24	21	17	23
HC660_RS00945	243	77	130	54	85	242	175	138	217	218	165	239
HC660_RS00950	4	3	1	0	3	6	0	2	1	8	0	4
HC660_RS00955	11	0	7	2	16	20	1	3	5	15	0	4
HC660_RS00960	60	4	19	5	31	29	9	0	24	29	0	18
HC660_RS00965	3	4	6	2	8	10	1	0	7	4	0	4
HC660_RS00970	2	0	1	0	6	6	0	3	1	3	0	1
HC660_RS00975	0	1	2	0	5	1	0	0	0	6	0	3
HC660_RS00980	7	2	8	0	7	14	1	3	7	14	1	4
HC660_RS00985	11	4	8	5	10	16	10	8	10	12	7	7
HC660_RS00990	22	10	14	8	12	27	26	16	33	27	21	29
HC660_RS00995	0	0	0	0	0	0	0	0	0	1	0	0
HC660_RS01000	12	5	18	1	6	9	10	7	10	7	5	4
HC660_RS01005	22	16	9	0	14	25	20	9	22	22	8	25
HC660_RS01010	60	13	11	10	54	31	19	22	94	24	7	81
HC660_RS01015	494	355	357	350	298	373	266	416	484	582	548	499
HC660_RS01020	198	100	153	151	183	230	120	170	190	206	116	198
HC660_RS01025	77	61	65	116	107	132	110	118	147	98	99	227
HC660_RS01030	123	103	77	137	141	208	98	150	199	115	131	223
HC660_RS01035	115	115	123	237	123	178	118	178	215	119	165	283
HC660_RS01040	648	525	400	1097	932	1089	808	890	930	690	752	1518
HC660_RS01045	38	122	114	146	65	59	80	141	51	41	131	59
HC660_RS01050	59	88	83	88	113	113	82	202	135	41	90	54
HC660_RS01055	51	123	110	143	80	106	146	224	183	47	155	78
HC660_RS01060	26	50	60	69	76	46	62	129	77	28	91	49
HC660_RS01065	48	51	63	57	95	100	56	115	116	39	72	48
HC660_RS01070	28	31	40	43	88	58	20	64	55	19	44	21
HC660_RS01075	44	45	88	74	159	107	43	123	112	39	47	57
HC660_RS01080	1	5	12	5	9	7	1	12	10	4	4	6
HC660_RS01085	25	13	11	33	38	34	9	37	34	23	14	23
HC660_RS01090	0	0	0	0	1	0	0	0	1	1	0	0
HC660_RS01095	4	0	1	3	0	2	0	1	5	16	0	3
HC660_RS01100	4	3	3	0	1	2	1	1	10	2	1	9
HC660_RS01105	2	0	0	1	5	2	2	2	4	3	1	2
HC660_RS01110	0	0	0	0	0	0	0	0	2	1	0	0
HC660_RS01115	23352	21901	11486	12781	7442	12139	12574	22503	21274	16408	19684	14752
HC660_RS01120	20095	18544	9933	11377	6751	11095	11123	20848	17686	14055	17895	12830
HC660_RS01125	298	307	386	294	468	509	235	490	367	450	405	324
HC660_RS01130	981	1155	1102	1397	1223	1353	1234	2280	1049	1194	1878	918
HC660_RS01135	1304	1210	1095	1685	1993	2228	1640	2289	1993	1855	1569	1852
HC660_RS01140	3633	4216	6905	6403	13267	8076	3591	5607	3784	2907	4709	3176
HC660_RS21260	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01150	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01155	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01160	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01165	32	27	54	25	42	29	22	24	53	43	35	32
HC660_RS01170	35	72	43	67	31	30	95	136	72	54	119	36
HC660_RS01175	18	23	18	23	19	17	16	43	20	18	25	23
HC660_RS01180	6	5	9	8	6	16	5	24	14	8	14	21
HC660_RS01185	23	21	13	19	10	18	23	13	25	18	23	29
HC660_RS01190	1	0	0	1	2	0	1	0	0	0	4	1
HC660_RS01195	28	2	9	5	35	41	1	10	25	24	5	28
HC660_RS01200	23	17	25	15	24	25	15	28	32	97	84	130
HC660_RS21310	0	3	1	3	3	0	4	1	3	1	3	5
HC660_RS01205	14	32	23	21	28	15	18	25	23	6	25	3
HC660_RS01210	16	24	36	25	26	20	13	48	21	14	25	9
HC660_RS01215	28	40	73	65	59	50	33	72	27	33	62	27
HC660_RS01220	44	43	63	57	105	105	38	75	84	73	39	93
HC660_RS01225	54	57	108	83	53	50	37	83	42	53	76	32
HC660_RS01230	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01235	1	3	1	2	0	1	0	0	0	0	1	1
HC660_RS01240	467	318	262	390	749	665	330	708	619	595	401	577
HC660_RS01245	6	4	7	6	7	3	0	10	7	2	6	4
HC660_RS01250	8	4	5	0	3	8	1	4	2	4	5	2
HC660_RS01255	117	194	111	176	112	98	109	161	150	133	220	222
HC660_RS01260	701	673	710	490	531	773	586	935	812	686	562	739
HC660_RS01265	563	852	2370	1975	2807	1798	273	441	564	1140	1103	1257
HC660_RS01270	1267	799	963	771	1095	1188	985	1106	1118	849	818	1098
HC660_RS01275	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01280	1226	1944	892	2118	1528	2134	1748	1316	3452	2050	2301	2316
HC660_RS01285	1449	1664	672	1378	989	1718	1488	1035	3019	1733	1483	2301
HC660_RS01290	2	1	4	0	9	9	1	2	9	5	2	1
HC660_RS01295	35	29	36	49	67	72	12	36	49	30	22	32
HC660_RS01300	48	34	56	64	100	125	42	58	83	31	59	58
HC660_RS01305	0	0	0	0	0	0	0	0	0	0	0	1
HC660_RS01310	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01315	96	70	103	162	172	171	133	204	149	107	103	93
HC660_RS01320	253	215	197	393	447	576	264	331	478	225	185	504
HC660_RS01325	171	264	726	192	614	557	81	316	323	107	170	166
HC660_RS01330	71	135	355	100	275	225	45	135	158	50	68	109
HC660_RS01335	118	181	408	187	202	257	102	171	166	161	156	157
HC660_RS01340	360	201	244	244	335	387	202	333	346	357	213	298
HC660_RS01345	447	209	141	194	365	362	224	430	367	464	295	251
HC660_RS01350	608	282	216	242	421	429	321	677	471	711	396	418
HC660_RS01355	4	10	13	16	12	16	8	24	14	26	28	8
HC660_RS01360	6665	11763	6977	7611	1498	3967	6358	11063	7210	5032	15419	5093
HC660_RS01365	72	85	50	91	47	70	61	131	91	48	104	75
HC660_RS01370	2442	1365	1615	2076	3483	3134	1342	2587	2556	2749	1555	2430
HC660_RS01375	162	145	152	224	240	202	109	160	221	94	91	146
HC660_RS01380	456	260	183	130	140	138	247	312	321	303	266	537
HC660_RS01385	338	283	249	228	151	241	222	350	273	256	306	366
HC660_RS01390	79	83	97	105	102	105	86	119	102	116	110	109
HC660_RS01395	43	24	32	48	72	58	29	55	51	53	36	61
HC660_RS01400	177	166	233	191	488	573	146	274	252	96	107	210
HC660_RS01405	52	27	52	38	94	86	44	55	64	28	34	46
HC660_RS01410	88	60	60	83	91	110	61	103	113	80	33	88
HC660_RS01415	11	12	20	14	27	26	23	15	67	15	17	11
HC660_RS01420	10	4	3	6	2	12	5	3	31	2	10	9
HC660_RS01425	115	107	111	134	102	146	98	156	133	48	94	102
HC660_RS01430	106	174	186	251	179	227	142	264	159	116	232	127
HC660_RS01435	8	19	21	14	24	25	6	19	36	14	10	18
HC660_RS01440	35	29	46	25	62	60	34	32	60	33	38	29
HC660_RS01445	25	6	17	11	34	34	7	19	44	19	15	25
HC660_RS01450	15	15	18	15	28	23	12	16	38	9	21	19
HC660_RS01455	115	39	66	86	115	96	56	116	111	92	76	99
HC660_RS01460	178	147	204	124	258	259	129	160	289	166	142	209
HC660_RS01465	192	149	228	167	207	192	151	272	243	221	211	207
HC660_RS01470	141	77	101	83	174	131	65	90	133	104	55	184
HC660_RS01475	4	5	12	16	16	15	5	16	12	21	12	13
HC660_RS01480	10	13	23	20	20	17	15	34	30	14	15	16
HC660_RS01485	41	69	101	92	55	66	76	121	68	58	84	47
HC660_RS01490	90	137	158	182	87	99	93	161	80	70	128	72
HC660_RS01495	154	229	230	340	153	164	175	235	235	129	218	155
HC660_RS20945	2	7	5	9	5	3	2	7	0	7	1	4
HC660_RS01500	604	429	598	992	853	780	319	313	559	574	272	716
HC660_RS01505	16	15	19	19	28	95	22	31	95	36	17	23
HC660_RS01510	480	192	193	456	543	618	245	374	504	470	188	513
HC660_RS21265	6	8	3	2	3	5	4	5	2	2	2	4
HC660_RS01515	101	112	99	141	89	131	105	163	160	73	120	79
HC660_RS01520	10	26	22	24	18	17	25	41	24	14	30	16
HC660_RS01525	134	156	163	197	131	155	194	238	183	89	218	127
HC660_RS01530	161	138	150	158	150	191	159	178	207	119	162	159
HC660_RS01535	84	77	112	70	114	143	85	162	146	104	92	114
HC660_RS01540	173	70	52	76	92	131	103	170	133	222	121	185
HC660_RS01545	32	24	21	32	16	20	15	54	25	51	38	11
HC660_RS01550	14	14	10	14	22	11	22	38	27	7	27	22
HC660_RS01555	68	45	36	92	73	113	59	82	153	116	85	375
HC660_RS01560	13	17	10	13	14	12	12	14	16	16	15	24
HC660_RS01565	495	346	388	532	507	590	342	794	509	651	598	450
HC660_RS01570	31	24	61	56	72	95	26	61	77	56	34	46
HC660_RS01575	126	120	184	153	186	127	33	87	101	102	99	100
HC660_RS01580	47	47	58	96	78	57	29	106	40	32	74	37
HC660_RS01585	89	130	174	190	137	127	93	218	117	75	196	91
HC660_RS01590	152	259	260	392	304	233	190	265	246	140	229	200
HC660_RS01595	1269	1672	1239	2436	1615	2333	1641	2701	2032	1835	2362	2939
HC660_RS01600	2	4	2	2	2	2	1	2	0	2	1	0
HC660_RS01605	144	281	205	272	310	230	246	342	241	143	296	193
HC660_RS01610	148	139	140	168	115	146	128	265	134	112	191	99
HC660_RS01615	49	49	55	66	41	72	35	68	46	57	68	46
HC660_RS01620	219	144	366	206	438	453	90	256	234	198	151	213
HC660_RS01625	400	501	592	625	496	638	649	881	490	382	601	367
HC660_RS01630	1670	2084	2042	2274	1794	2673	2324	2884	2210	1275	1848	1894
HC660_RS01635	218	343	230	382	482	512	225	473	206	210	469	274
HC660_RS01640	79	68	40	69	53	74	58	162	87	107	127	60
HC660_RS01645	161	92	46	69	91	118	91	235	122	209	186	145
HC660_RS01650	95	50	36	88	176	183	75	107	116	113	62	115
HC660_RS01655	1887	2586	2912	1798	1259	1947	1521	3083	2031	1672	3275	1818
HC660_RS01660	6210	8007	6112	5520	2930	4436	5303	9410	5690	5401	10173	5482
HC660_RS01665	7190	7270	5350	4911	2752	4149	5013	9104	6081	5047	8890	5497
HC660_RS01670	13760	12121	9478	9091	6348	9046	9702	15602	13238	10337	14611	11266
HC660_RS01675	1315	1864	1262	1579	534	1070	1916	2963	1447	813	2493	952
HC660_RS01680	1498	2048	1495	1721	740	1314	2119	3273	1735	912	2529	1178
HC660_RS01685	1039	1207	989	1110	689	1067	1435	2165	1471	679	1330	771
HC660_RS01690	792	1127	873	1066	578	954	1299	1962	1170	440	1137	576
HC660_RS01695	777	1914	1343	2222	838	1345	2236	3429	1361	572	1954	771
HC660_RS01700	1163	1835	1098	2196	1316	1863	2249	3717	2018	814	1709	1199
HC660_RS01705	335	178	217	181	207	210	208	306	326	165	179	185
HC660_RS01710	874	821	736	1388	1417	1508	946	2224	1155	972	947	684
HC660_RS01715	872	988	810	1205	1085	1140	1175	2402	1013	709	1017	655
HC660_RS01720	1660	1672	1379	2102	2286	2283	2603	4108	2300	1582	1764	1575
HC660_RS01725	368	364	424	401	531	571	383	630	518	190	243	385
HC660_RS01730	106	64	71	146	189	208	82	104	157	51	54	136
HC660_RS01735	105	54	107	67	164	101	51	86	88	102	41	117
HC660_RS01740	58225	39588	35942	24099	15092	13616	29488	49618	29365	32479	35452	24164
HC660_RS01745	102406	40175	40906	22529	31650	28562	33543	46743	48307	47719	32344	31769
HC660_RS01750	872	524	621	477	602	612	440	871	643	696	482	675
HC660_RS01755	147	81	113	83	124	133	84	172	119	98	103	97
HC660_RS01760	235	178	192	187	192	189	139	357	174	186	218	131
HC660_RS01765	142	83	114	100	121	108	84	217	127	139	128	94
HC660_RS01770	22	24	22	20	14	21	11	19	27	17	23	18
HC660_RS01775	5	5	3	1	2	0	0	5	7	1	4	0
HC660_RS01780	2691	1922	2984	2635	4016	4229	2314	2578	3911	3290	1741	3415
HC660_RS01785	12	16	21	32	56	65	12	38	36	19	12	35
HC660_RS01790	177	357	385	378	308	358	229	363	394	258	301	279
HC660_RS01795	74	36	79	59	104	105	30	59	81	90	36	114
HC660_RS01800	0	1	0	0	0	2	0	0	2	1	0	0
HC660_RS01805	5	15	12	11	24	16	7	14	11	17	13	14
HC660_RS01810	39	31	36	72	85	97	52	71	62	36	47	85
HC660_RS01815	35	31	20	34	42	66	56	86	59	49	28	47
HC660_RS01820	606	2383	3797	3975	5557	3346	1433	2823	1198	517	2079	1425
HC660_RS01825	3576	9211	9281	9713	13436	9385	7916	11840	7337	3065	7207	7384
HC660_RS01830	1062	1207	1641	1404	4683	3590	1011	1749	2108	849	883	2181
HC660_RS01835	204	397	560	431	637	530	290	586	378	243	429	341
HC660_RS01840	92	100	134	132	127	120	105	189	142	122	149	125
HC660_RS01845	91	70	73	58	74	77	67	118	93	101	86	63
HC660_RS01850	0	0	0	0	0	0	0	0	0	0	0	0
HC660_RS01855	66	52	44	58	87	113	37	81	84	69	60	98
HC660_RS01860	2133	1172	1245	655	690	664	1022	1549	987	1027	1337	643
HC660_RS01865	1079	812	893	394	307	201	590	979	423	696	870	404
HC660_RS01870	6147	4862	4766	1844	1008	903	3060	5024	2063	2882	4899	1608
HC660_RS01875	71	52	42	40	36	37	69	88	83	53	81	62
HC660_RS01880	184	148	123	141	169	214	176	282	237	153	152	157
