biocide,group,rep,auc_base,auc_biocide,net_kill
DDAC,SMG+6.5,SMG+SR（6.5 Gy）-3,0.056055261202595116,-0.5675567493319005,0.6236120105344956
DDAC,SMG+13,SMG+SR（13 Gy）-1,0.18163407204975865,-0.5774734833351969,0.7591075553849556
DDAC,SMG+13,SMG+SR（13 Gy）-2,0.18163407204975865,-0.5105530694976944,0.6921871415474531
DDAC,SMG+13,SMG+SR（13 Gy）-3,0.18163407204975865,-0.6304185689157511,0.8120526409655098
DDAC,SMG+19.5,SMG+SR（19.5 Gy）-1,-0.09623340825755525,-0.6209817922521808,0.5247483839946255
DDAC,SMG+19.5,SMG+SR（19.5 Gy）-2,-0.09623340825755525,-0.6821278030083341,0.5858943947507789
DDAC,SMG+19.5,SMG+SR（19.5 Gy）-3,-0.09623340825755525,-0.7738506985074692,0.677617290249914
NaHCO3,Ctrl,Ctrl-1,0.028743268773767632,-0.11879479249680373,0.14753806127057137
NaHCO3,Ctrl,Ctrl-2,0.028743268773767632,-0.07540678982849555,0.10415005860226319
NaHCO3,Ctrl,Ctrl-3,0.028743268773767632,-0.08884510024589627,0.11758836901966391
NaHCO3,1g+6.5,SR（6.5 Gy）-1,-0.06394746440097329,-0.0958518185248043,0.03190435412383101
NaHCO3,1g+6.5,SR（6.5 Gy）-2,-0.06394746440097329,-0.06476571108493588,8.182466839625896e-4
NaHCO3,1g+6.5,SR（6.5 Gy）-3,-0.06394746440097329,-0.03773430416337827,-0.02621316023759502
NaHCO3,1g+13,SR（13 Gy）-1,-0.0944309257287275,-0.05196047805361729,-0.042470447675110205
NaHCO3,1g+13,SR（13 Gy）-2,-0.0944309257287275,-0.0665104932505027,-0.027920432478224788
NaHCO3,1g+13,SR（13 Gy）-3,-0.0944309257287275,-0.06873377609276514,-0.025697149635962355
NaHCO3,1g+19.5,SR（19.5 Gy）-1,-0.11457378687489453,-0.0657779790302373,-0.04879580784465723
NaHCO3,1g+19.5,SR（19.5 Gy）-2,-0.11457378687489453,-0.018855181329580254,-0.09571860554531428
NaHCO3,1g+19.5,SR（19.5 Gy）-3,-0.11457378687489453,-0.052611807580776895,-0.06196197929411763
NaHCO3,SMG,SMG-1,-0.015598116270926646,-0.07973002501297907,0.06413190874205242
NaHCO3,SMG,SMG-2,-0.015598116270926646,-0.10886079521465408,0.09326267894372743
NaHCO3,SMG,SMG-3,-0.015598116270926646,-0.11715531177979006,0.10155719550886341
NaHCO3,SMG+6.5,SMG+SR（6.5 Gy）-1,0.056055261202595116,-0.12917431798160545,0.18522957918420058
NaHCO3,SMG+6.5,SMG+SR（6.5 Gy）-2,0.056055261202595116,-0.09740328163581774,0.15345854283841287
NaHCO3,SMG+6.5,SMG+SR（6.5 Gy）-3,0.056055261202595116,-0.0826802690819516,0.13873553028454672
NaHCO3,SMG+13,SMG+SR（13 Gy）-1,0.18163407204975865,-0.0657779790302373,0.24741205107999595
NaHCO3,SMG+13,SMG+SR（13 Gy）-2,0.18163407204975865,-0.018855181329580254,0.2004892533793389
NaHCO3,SMG+13,SMG+SR（13 Gy）-3,0.18163407204975865,-0.052611807580776895,0.23424587963053556
NaHCO3,SMG+19.5,SMG+SR（19.5 Gy）-1,-0.09623340825755525,-0.030091953856850286,-0.06614145440070496
NaHCO3,SMG+19.5,SMG+SR（19.5 Gy）-2,-0.09623340825755525,-0.023484364551416243,-0.07274904370613901
NaHCO3,SMG+19.5,SMG+SR（19.5 Gy）-3,-0.09623340825755525,-0.030611534064584344,-0.0656218741929709
