time_min,rep,relative_OD,group,treatment,time_h
920,Ctrl-3,-0.6295382181760514,1g+0,DDAC,15.333333333333334
940,Ctrl-1,-0.6187839421499207,1g+0,DDAC,15.666666666666666
940,Ctrl-2,-0.5772618060088305,1g+0,DDAC,15.666666666666666
940,Ctrl-3,-0.6352977323445524,1g+0,DDAC,15.666666666666666
960,Ctrl-1,-0.635182644976187,1g+0,DDAC,16
960,Ctrl-2,-0.6296036863731449,1g+0,DDAC,16
960,Ctrl-3,-0.6523706654907981,1g+0,DDAC,16
980,Ctrl-1,-0.6438078957142797,1g+0,DDAC,16.333333333333332
980,Ctrl-2,-0.5857686213514673,1g+0,DDAC,16.333333333333332
980,Ctrl-3,-0.6388974593512321,1g+0,DDAC,16.333333333333332
1000,Ctrl-1,-0.6569055574554236,1g+0,DDAC,16.666666666666668
1000,Ctrl-2,-0.6282025715658398,1g+0,DDAC,16.666666666666668
1000,Ctrl-3,-0.6517535615507313,1g+0,DDAC,16.666666666666668
1020,Ctrl-1,-0.6607390163323453,1g+0,DDAC,17
1020,Ctrl-2,-0.6267013600859092,1g+0,DDAC,17
1020,Ctrl-3,-0.6495937437375426,1g+0,DDAC,17
1040,Ctrl-1,-0.6276221980867108,1g+0,DDAC,17.333333333333332
1040,Ctrl-2,-0.6279023113741434,1g+0,DDAC,17.333333333333332
1040,Ctrl-3,-0.62398437466954,1g+0,DDAC,17.333333333333332
1060,Ctrl-1,-0.6438078957142797,1g+0,DDAC,17.666666666666668
1060,Ctrl-2,-0.6232986399140915,1g+0,DDAC,17.666666666666668
1060,Ctrl-3,-0.6611128333772771,1g+0,DDAC,17.666666666666668
1080,Ctrl-1,-0.659993625076831,1g+0,DDAC,18
1080,Ctrl-2,-0.6225980825104386,1g+0,DDAC,18
1080,Ctrl-3,-0.6629641145461141,1g+0,DDAC,18
1100,Ctrl-1,-0.6597806516131149,1g+0,DDAC,18.333333333333332
1100,Ctrl-2,-0.601481174249696,1g+0,DDAC,18.333333333333332
1100,Ctrl-3,-0.6607014307505651,1g+0,DDAC,18.333333333333332
1120,Ctrl-1,-0.6433819805218302,1g+0,DDAC,18.666666666666668
1120,Ctrl-2,-0.5742594128751526,1g+0,DDAC,18.666666666666668
1120,Ctrl-3,-0.6466111206709311,1g+0,DDAC,18.666666666666668
1140,Ctrl-1,-0.6669151515751591,1g+0,DDAC,19
1140,Ctrl-2,-0.62179742843416,1g+0,DDAC,19
1140,Ctrl-3,-0.6439370649000359,1g+0,DDAC,19
1160,Ctrl-1,-0.6684059340861891,1g+0,DDAC,19.333333333333332
1160,Ctrl-2,-0.6323058491413106,1g+0,DDAC,19.333333333333332
1160,Ctrl-3,-0.6540162453462793,1g+0,DDAC,19.333333333333332
1180,Ctrl-1,-0.6525396807867025,1g+0,DDAC,19.666666666666668
1180,Ctrl-2,-0.593374685945198,1g+0,DDAC,19.666666666666668
1180,Ctrl-3,-0.6491823411108306,1g+0,DDAC,19.666666666666668
1200,Ctrl-1,-0.6653178664647815,1g+0,DDAC,20
1200,Ctrl-2,-0.6008807135186698,1g+0,DDAC,20
1200,Ctrl-3,-0.6659467069613597,1g+0,DDAC,20
1220,Ctrl-1,-0.6622297988433742,1g+0,DDAC,20.333333333333332
1220,Ctrl-2,-0.6267013600859092,1g+0,DDAC,20.333333333333332
1220,Ctrl-3,-0.6696492692990339,1g+0,DDAC,20.333333333333332
0,SR（6.5 Gy）-1,0,1g+6.5,DDAC,0
0,SR（6.5 Gy）-2,0,1g+6.5,DDAC,0
0,SR（6.5 Gy）-3,0,1g+6.5,DDAC,0
20,SR（6.5 Gy）-1,-0.10512099674666489,1g+6.5,DDAC,0.3333333333333333
20,SR（6.5 Gy）-2,-0.13630768713979186,1g+6.5,DDAC,0.3333333333333333
20,SR（6.5 Gy）-3,-0.1340349385478027,1g+6.5,DDAC,0.3333333333333333
40,SR（6.5 Gy）-1,-0.2119040139242187,1g+6.5,DDAC,0.6666666666666666
40,SR（6.5 Gy）-2,-0.27183270922743596,1g+6.5,DDAC,0.6666666666666666
40,SR（6.5 Gy）-3,-0.2643963680461359,1g+6.5,DDAC,0.6666666666666666
60,SR（6.5 Gy）-1,-0.2903292873335142,1g+6.5,DDAC,1
60,SR（6.5 Gy）-2,-0.37135187309082535,1g+6.5,DDAC,1
60,SR（6.5 Gy）-3,-0.39386420130368094,1g+6.5,DDAC,1
80,SR（6.5 Gy）-1,-0.37716836891058414,1g+6.5,DDAC,1.3333333333333333
80,SR（6.5 Gy）-2,-0.47545565595635886,1g+6.5,DDAC,1.3333333333333333
80,SR（6.5 Gy）-3,-0.4774622600575748,1g+6.5,DDAC,1.3333333333333333
100,SR（6.5 Gy）-1,-0.41871819862840587,1g+6.5,DDAC,1.6666666666666667
100,SR（6.5 Gy）-2,-0.5145924076624523,1g+6.5,DDAC,1.6666666666666667
100,SR（6.5 Gy）-3,-0.544579030953464,1g+6.5,DDAC,1.6666666666666667
120,SR（6.5 Gy）-1,-0.47387555748947463,1g+6.5,DDAC,2
120,SR（6.5 Gy）-2,-0.5674829497254836,1g+6.5,DDAC,2
120,SR（6.5 Gy）-3,-0.5739674288312745,1g+6.5,DDAC,2
140,SR（6.5 Gy）-1,-0.49652021437611726,1g+6.5,DDAC,2.3333333333333335
140,SR（6.5 Gy）-2,-0.6038242215471956,1g+6.5,DDAC,2.3333333333333335
140,SR（6.5 Gy）-3,-0.6024622600575745,1g+6.5,DDAC,2.3333333333333335
160,SR（6.5 Gy）-1,-0.5068037955286421,1g+6.5,DDAC,2.6666666666666665
160,SR（6.5 Gy）-2,-0.6106451977970468,1g+6.5,DDAC,2.6666666666666665
160,SR（6.5 Gy）-3,-0.6336378208276819,1g+6.5,DDAC,2.6666666666666665
180,SR（6.5 Gy）-1,-0.49381946213294103,1g+6.5,DDAC,3
180,SR（6.5 Gy）-2,-0.6498937540356274,1g+6.5,DDAC,3
180,SR（6.5 Gy）-3,-0.6622319240866916,1g+6.5,DDAC,3
200,SR（6.5 Gy）-1,-0.5369273895691932,1g+6.5,DDAC,3.3333333333333335
200,SR（6.5 Gy）-2,-0.6542547306480521,1g+6.5,DDAC,3.3333333333333335
200,SR（6.5 Gy）-3,-0.6555798398060084,1g+6.5,DDAC,3.3333333333333335
220,SR（6.5 Gy）-1,-0.5462760997078522,1g+6.5,DDAC,3.6666666666666665
220,SR（6.5 Gy）-2,-0.6692385041613284,1g+6.5,DDAC,3.6666666666666665
220,SR（6.5 Gy）-3,-0.6758339975140273,1g+6.5,DDAC,3.6666666666666665
240,SR（6.5 Gy）-1,-0.5338111631753139,1g+6.5,DDAC,4
240,SR（6.5 Gy）-2,-0.6648775608736521,1g+6.5,DDAC,4
240,SR（6.5 Gy）-3,-0.687450363983646,1g+6.5,DDAC,4
260,SR（6.5 Gy）-1,-0.57463384347611135,1g+6.5,DDAC,4.333333333333333
260,SR（6.5 Gy）-2,-0.6746058215403707,1g+6.5,DDAC,4.333333333333333
260,SR（6.5 Gy）-3,-0.6662033380021276,1g+6.5,DDAC,4.333333333333333
280,SR（6.5 Gy）-1,-0.544198605126259,1g+6.5,DDAC,4.666666666666667
280,SR（6.5 Gy）-2,-0.693167839964425,1g+6.5,DDAC,4.666666666666667
280,SR（6.5 Gy）-3,-0.6970810234955457,1g+6.5,DDAC,4.666666666666667
300,SR（6.5 Gy）-1,-0.563934757215864,1g+6.5,DDAC,5
300,SR（6.5 Gy）-2,-0.6962987667710132,1g+6.5,DDAC,5
300,SR（6.5 Gy）-3,-0.6921167708958902,1g+6.5,DDAC,5
320,SR（6.5 Gy）-1,-0.5511582073310428,1g+6.5,DDAC,5.333333333333333
320,SR（6.5 Gy）-2,-0.7058034183727598,1g+6.5,DDAC,5.333333333333333
320,SR（6.5 Gy）-3,-0.7194201897832719,1g+6.5,DDAC,5.333333333333333
340,SR（6.5 Gy）-1,-0.5539628203726406,1g+6.5,DDAC,5.666666666666667
340,SR（6.5 Gy）-2,-0.6997651738245555,1g+6.5,DDAC,5.666666666666667
340,SR（6.5 Gy）-3,-0.6833796780354995,1g+6.5,DDAC,5.666666666666667
360,SR（6.5 Gy）-1,-0.5565596808603768,1g+6.5,DDAC,6
360,SR（6.5 Gy）-2,-0.7108352888295979,1g+6.5,DDAC,6
360,SR（6.5 Gy）-3,-0.6987688551765743,1g+6.5,DDAC,6
380,SR（6.5 Gy）-1,-0.5624805202958549,1g+6.5,DDAC,6.333333333333333
380,SR（6.5 Gy）-2,-0.7066979546068927,1g+6.5,DDAC,6.333333333333333
380,SR（6.5 Gy）-3,-0.7067116830074452,1g+6.5,DDAC,6.333333333333333
400,SR（6.5 Gy）-1,-0.6040303500136766,1g+6.5,DDAC,6.666666666666667
400,SR（6.5 Gy）-2,-0.7112825736090379,1g+6.5,DDAC,6.666666666666667
400,SR（6.5 Gy）-3,-0.6850675097165281,1g+6.5,DDAC,6.666666666666667
420,SR（6.5 Gy）-1,-0.5657006384451753,1g+6.5,DDAC,7
420,SR（6.5 Gy）-2,-0.7230235824584914,1g+6.5,DDAC,7
420,SR（6.5 Gy）-3,-0.6572676714870371,1g+6.5,DDAC,7
440,SR（6.5 Gy）-1,-0.5734912199083841,1g+6.5,DDAC,7.333333333333333
440,SR（6.5 Gy）-2,-0.7217935826397788,1g+6.5,DDAC,7.333333333333333
440,SR（6.5 Gy）-3,-0.7427521947552177,1g+6.5,DDAC,7.333333333333333
460,SR（6.5 Gy）-1,-0.5444063576801204,1g+6.5,DDAC,7.666666666666667
460,SR（6.5 Gy）-2,-0.7205635661586909,1g+6.5,DDAC,7.666666666666667
460,SR（6.5 Gy）-3,-0.747220028012763,1g+6.5,DDAC,7.666666666666667
480,SR（6.5 Gy）-1,-0.5763997247054218,1g+6.5,DDAC,8
480,SR（6.5 Gy）-2,-0.7285027376947696,1g+6.5,DDAC,8
480,SR（6.5 Gy）-3,-0.7374900668788739,1g+6.5,DDAC,8
500,SR（6.5 Gy）-1,-0.5762958329499819,1g+6.5,DDAC,8.333333333333334
500,SR（6.5 Gy）-2,-0.7402437632065973,1g+6.5,DDAC,8.333333333333334
