Time,Dose_f,1g,SMG,diff
2.35,0,0.3389671665862706,0.3986934715591313,0.059726304972860744
2.4000000000000004,0,0.3541356278035639,0.41649647541640383,0.06236084761283994
2.45,0,0.3696033402118658,0.4345199812805205,0.06491664106865469
2.5,0,0.3853435633743851,0.4527183036363997,0.06737474026201462
2.5500000000000003,0,0.4013273649848933,0.47104390998058127,0.06971654499568797
2.6,0,0.4175238032551432,0.48944790609380273,0.07192410283865952
2.6500000000000004,0,0.4339001433501522,0.5078805520285196,0.07398040867836736
2.7,0,0.4504221051588824,0.526291797391703,0.07586969223282053
2.75,0,0.4670541387739212,0.5446318237522108,0.07757768497828954
2.8000000000000003,0,0.48375972321755917,0.5628515817226333,0.07909185850507411
2.85,0,0.5005016832309607,0.5809033104744655,0.08040162724350486
2.9000000000000004,0,0.5172425183715273,0.5987410281302452,0.08149850975871786
2.95,0,0.5339447382684632,0.6163209825964434,0.08237624432798019
3,0,0.5505711976871979,0.6336020538911715,0.08303085620397366
0,6.5,0.02802109004517027,0.03299908348167076,0.0049779934365004885
0.05,6.5,0.029845827267851427,0.035278990648945914,0.005433163381094487
0.1,6.5,0.03178550576156206,0.03771027385214532,0.00592476809058326
0.15000000000000002,6.5,0.03384684586148419,0.040302111386935416,0.006455265525451226
0.2,6.5,0.0360368915075116,0.04306411466333945,0.007027223155827857
0.25,6.5,0.03836301640306871,0.04600633074734383,0.007643314344275121
0.30000000000000004,6.5,0.040832928844876576,0.049139241845812774,0.008306313000936198
0.35000000000000003,6.5,0.043454674971255915,0.052473761228691934,0.00901908625743602
0.4,6.5,0.04623664015090675,0.0560212250387223,0.00978458488781555
0.45,6.5,0.04918754820775476,0.059793379396418336,0.010605831188663574
0.5,6.5,0.052316458150799015,0.06380236216827685,0.011485904017477837
0.55,6.5,0.05563275805142563,0.0680606787307535,0.012427920679327867
0.6000000000000001,6.5,0.05914615568498696,0.07258117103347775,0.013435015348490786
0.65,6.5,0.06286666552933694,0.07737697924480096,0.014510313715464018
0.7000000000000001,6.5,0.06680459169136102,0.0824614952537658,0.015656903562404775
0.75,6.5,0.07097050631440296,0.08784830730794925,0.016877800993546285
0.8,6.5,0.07537522300609949,0.09355113508967566,0.018175912083576176
0.8500000000000001,6.5,0.08002976481888532,0.09958375457738236,0.019553989758497037
0.9,6.5,0.0849453263158898,0.1059599121081697,0.021014585792279897
0.9500000000000001,6.5,0.09013322926484359,0.11269322715556875,0.02255999789072516
1,6.5,0.09560487152379887,0.11979708346697544,0.02419221194317657
1.05,6.5,0.10137166871691944,0.127284508371406,0.02591283965448657
1.1,6.5,0.10744498834831966,0.13516804027302357,0.02772305192470391
1.1500000000000001,6.5,0.11383607606894833,0.14345958459124789,0.029623508522299558
1.2000000000000002,6.5,0.12055597389773114,0.15217025869496822,0.03161428479723709
1.25,6.5,0.12761543030532418,0.16131022670569264,0.03369479640036846
1.3,6.5,0.13502480219829313,0.1708885254097343,0.035863723211441156
1.35,6.5,0.14279394899424294,0.18091288291781943,0.03811893392357649
1.4000000000000001,6.5,0.15093211915470192,0.19138953213429669,0.040457412979594765
1.4500000000000002,6.5,0.1594478297419167,0.20232302153703652,0.04287519179511981
1.5,6.5,0.16834873978669082,0.21371602620979602,0.045367286423105196
1.55,6.5,0.17764151849439638,0.22556916249495365,0.04792764400055727
1.6,6.5,0.18733170957140588,0.23788081002703737,0.05054910045563149
1.6500000000000001,6.5,0.19742359321910738,0.2506469452450571,0.053223352025949716
1.7000000000000002,6.5,0.20792004761057112,0.2638609907414518,0.05594094313088069
1.75,6.5,0.21882241192749602,0.2775136849640968,0.058691273036600766
1.8,6.5,0.2301303532825521,0.2915929768226844,0.06146262354013232
1.85,6.5,0.24184174007365095,0.3060839496415497,0.06424220956789878
1.9000000000000001,6.5,0.2539525245000951,0.32096877863123086,0.06701625413113577
1.9500000000000002,6.5,0.266456637103521,0.3362267256099311,0.06977008850641009
2,6.5,0.27934589626661543,0.35183417408997336,0.07248827782335793
2.0500000000000003,6.5,0.2926099355979879,0.36776470705827774,0.07515477146028982
2.1,6.5,0.30623615204196797,0.38398922883830455,0.07775307679633658
2.15,6.5,0.32020967736931594,0.40047613134814175,0.08026645397882581
2.2,6.5,0.3345133754237503,0.41719150389936177,0.08267812847561146
2.25,6.5,0.3491278671184149,0.4340993844563752,0.08497151733796027
2.3000000000000003,6.5,0.364031584698904,0.45116204904531504,0.08713046434641103
2.35,6.5,0.3792008562230021,0.46834033481823373,0.08913947859523164
2.4000000000000004,6.5,0.39461002056464223,0.4855939911968683,0.09098397063222607
2.45,6.5,0.41023157254831427,0.5028820525923687,0.09265048004405446
2.5,6.5,0.4260363370822794,0.5201632254693661,0.09412688838708672
2.5500000000000003,6.5,0.44199367041000315,0.537396282031719,0.09540261162171582
2.6,6.5,0.45807168586726843,0.5545404525787614,0.09646876671149296
2.6500000000000004,6.5,0.4742375008465422,0.5715558086268544,0.0973183077803122
2.7,6.5,0.49045750105894204,0.5884036292090845,0.09794612815014248
2.75,6.5,0.5066976176740637,0.6050467433394553,0.09834912566539156
2.8000000000000003,6.5,0.5229236125316488,0.6214498424271758,0.09852622989552706
2.85,6.5,0.5391013663742166,0.6375797574112267,0.09847839103701017
2.9000000000000004,6.5,0.555197164957596,0.6534056965067765,0.09820853154918052
2.95,6.5,0.5711779779610806,0.668899440660132,0.09772146269905135
3,6.5,0.5870117258376674,0.6840354950434381,0.09702376920577072
0,13,0.031758200538254094,0.0363059282737169,0.004547727735462803
