timepoint,condition,dose_Gy,contrast,source_file,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00595,985.03316084314,1.96925661941323e-6,0.00144266640209771,0.669993126917806,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00600,197.22165888588,2.64451901190535e-6,0.00144267877698048,0.45823046259883,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00605,5061.95123297092,4.03170183395667e-6,0.00144268126533714,0.246806300601703,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00610,122.119373775823,2.37735018527582e-6,0.00144268710410062,0.351690252338409,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00615,440.153118575025,3.47585021424663e-6,0.00144268156268556,0.302386724162694,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00620,105.697527264461,-5.48882650947539e-7,0.00144268651034306,0.823255550525642,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00625,156.929955816762,-1.6870719079958e-6,0.00144268867514349,0.449229688445906,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00630,98.8932056196741,-2.92982114645889e-6,0.00144268867389389,0.230193038306401,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00635,363.873615025507,1.67498643543316e-6,0.00144268307891562,0.578583903120167,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00640,165.901899503005,-2.0427308317262e-7,0.00144267507862563,0.955479695737636,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00645,317.944536097377,-2.27180822325053e-6,0.0014426866349257,0.379676158456621,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00650,392.335927632222,6.1650388853004e-8,0.0014426834036243,0.98479531950991706,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00655,19124.3846377987,2.7292645176683e-6,0.00144267484777591,0.490532988660628,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00660,20431.4173081777,3.44717527744433e-6,0.00144267698783611,0.368239240371454,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00665,31419.2972821668,3.22746627452707e-6,0.0014426776749477,0.38870588159653,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00670,22717.6700058089,3.04916582482593e-6,0.00144268190260746,0.353546811129421,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00675,1028.78210399688,2.06252510224104e-6,0.00144267355042277,0.608576210538431,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00680,22210.8031089637,1.79334994971681e-6,0.00144267481047154,0.646198044575497,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00685,58399.0029080452,2.05670341649466e-6,0.00144266062621609,0.685476137073741,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00690,8059.28943295215,2.70667673032938e-6,0.00144266337773371,0.580804444889338,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00695,16324.7947358677,5.09682157527737e-6,0.00144266828857882,0.285139362195876,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00700,20321.743831915,5.6094876591197e-6,0.0014426763454166,0.181678354846895,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00705,120045.68205553,6.87141540893678e-7,0.00144266655255993,0.883833942302165,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00710,147302.625245859,1.02276416325339e-6,0.00144267644705057,0.787033269698011,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00715,393.031154692169,5.83007262640648e-6,0.00144268178140293,0.118704215574631,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00720,11349.6132856474,-1.59313184156018e-6,0.00144265672442694,0.761117123781579,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00725,19603.5914922674,2.57021474420014e-6,0.00144266960495718,0.558650519367175,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00730,18006.7536928352,2.418017380296e-6,0.00144266856151054,0.589867369949097,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00735,9476.77960294952,3.02974330103778e-6,0.00144266881172205,0.501216499888664,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00740,29911.7720774785,1.12542978392266e-6,0.00144266899951684,0.799178527974728,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00745,8463.7376325441,-2.90694799129653e-6,0.00144267832556465,0.420652131682759,0.998875337679648
3 h,1g,13,1g_13,DEG_full_SR13Gy_vs_Ctrl.csv,HC660_RS00750,8311.04339604707,-7.72064498926433e-8,0.00144267563791574,0.981023802872,0.998875337679648
