group,replicate,auc_baseline,auc_biocide,baseline_candidate,biocide,net_kill
SMG+6.5,1,0.2042454451977046,-0.305296416240436,ctrl2,H2O2,0.5095418614381406
SMG+6.5,2,-0.18866344284343026,-0.4652613775171175,ctrl2,H2O2,0.2765979346736872
SMG+6.5,3,-0.11824273077617739,-0.27345726432729356,ctrl2,H2O2,0.15521453355111617
1g+13,1,-0.0772768266972016,-0.05196047805361729,ctrl2,NaHCO3,-0.025316348643584306
1g+13,2,-0.22657785568901262,-0.0665104932505027,ctrl2,NaHCO3,-0.1600673624385099
1g+13,3,0.015427183548366492,-0.06873377609276514,ctrl2,NaHCO3,0.08416095964113163
1g+19.5,1,-0.2332103521159415,-0.0657779790302373,ctrl2,NaHCO3,-0.1674323730857042
1g+19.5,2,-0.2013859257553503,-0.018855181329580254,ctrl2,NaHCO3,-0.18253074442577005
1g+19.5,3,-0.19967993987037727,-0.052611807580776895,ctrl2,NaHCO3,-0.14706813228960036
1g+6.5,1,-0.2589877011942026,-0.0958518185248043,ctrl2,NaHCO3,-0.16313588266939832
1g+6.5,2,-0.05904664220141585,-0.06476571108493588,ctrl2,NaHCO3,0.005719068883520029
1g+6.5,3,-0.2223313713197865,-0.03773430416337827,ctrl2,NaHCO3,-0.18459706715640822
Ctrl,1,0.12092696289652735,-0.11879479249680373,ctrl2,NaHCO3,0.23972175539333107
Ctrl,2,-0.06925029911545502,-0.07540678982849555,ctrl2,NaHCO3,0.00615649071304053
Ctrl,3,0.021533719129824647,-0.08884510024589627,ctrl2,NaHCO3,0.11037881937572092
SMG,1,-0.10598342992924922,-0.07973002501297907,ctrl2,NaHCO3,-0.02625340491627015
SMG,2,-0.04661406823686193,-0.10886079521465408,ctrl2,NaHCO3,0.062246726977792155
SMG,3,0.08140821624660136,-0.11715531177979006,ctrl2,NaHCO3,0.19856352802639143
SMG+13,1,-0.06725561725837345,-0.0657779790302373,ctrl2,NaHCO3,-0.0014776382281361522
SMG+13,2,-0.07227872476027121,-0.018855181329580254,ctrl2,NaHCO3,-0.05342354343069096
SMG+13,3,-0.24153178477824364,-0.052611807580776895,ctrl2,NaHCO3,-0.18891997719746673
SMG+19.5,1,-0.17178360490851058,-0.030091953856850286,ctrl2,NaHCO3,-0.1416916510516603
SMG+19.5,2,-0.09414452371898073,-0.023484364551416243,ctrl2,NaHCO3,-0.07066015916756449
SMG+19.5,3,-0.12113603678395392,-0.030611534064584344,ctrl2,NaHCO3,-0.09052450271936957
SMG+6.5,1,0.2042454451977046,-0.12917431798160545,ctrl2,NaHCO3,0.33341976317931005
SMG+6.5,2,-0.18866344284343026,-0.09740328163581774,ctrl2,NaHCO3,-0.09126016120761252
SMG+6.5,3,-0.11824273077617739,-0.0826802690819516,ctrl2,NaHCO3,-0.03556246169422579
