treatment,group,time,mean_rel,sd_rel,time_h
Baseline,1g+6.5,540,-0.152588367765633,0.36442533397081306,9
Baseline,1g+6.5,560,-0.1449697645256336,0.35697622409964674,9.333333333333334
Baseline,1g+6.5,580,-0.13227561651925351,0.36205830630669045,9.666666666666666
Baseline,1g+6.5,600,-0.12213267254608373,0.35605832812652555,10
Baseline,1g+6.5,620,-0.11232186353235354,0.34478793790491,10.333333333333334
Baseline,1g+6.5,640,-0.10261132329662924,0.3362219042380945,10.666666666666666
Baseline,1g+6.5,660,-0.09285316746482639,0.3277311782175412,11
Baseline,1g+6.5,680,-0.09460412659717225,0.30133281550189966,11.333333333333334
Baseline,1g+6.5,700,-0.09140871924386121,0.2745386500211801,11.666666666666666
Baseline,1g+6.5,720,-0.08861795974249434,0.25078108901966895,12
Baseline,1g+6.5,740,-0.08397891672325683,0.22427836995908035,12.333333333333334
Baseline,1g+6.5,760,-0.0752703053880597,0.19556688851663664,12.666666666666666
Baseline,1g+6.5,780,-0.06996382041335061,0.17110190898926347,13
Baseline,1g+6.5,800,-0.06290785131349233,0.15697279827968572,13.333333333333334
Baseline,1g+6.5,820,-0.049530443746980436,0.1546381565091092,13.666666666666666
Baseline,1g+6.5,840,-0.04272080867640889,0.15042177096155693,14
Baseline,1g+6.5,860,-0.028947698665772858,0.1547618521684647,14.333333333333334
Baseline,1g+6.5,880,-0.01618959567960772,0.15518488254615012,14.666666666666666
Baseline,1g+6.5,900,-6.302744256399262e-5,0.16513820773234053,15
Baseline,1g+6.5,920,0.04071266105415097,0.20048676298400406,15.333333333333334
Baseline,1g+6.5,940,0.04879377484700756,0.21469656566927803,15.666666666666666
Baseline,1g+6.5,960,0.047303508718081096,0.20363547268318744,16
Baseline,1g+6.5,980,0.08848552787519981,0.21419803731409146,16.333333333333332
Baseline,1g+6.5,1000,0.08084879795686811,0.20010106909982253,16.666666666666668
Baseline,1g+6.5,1020,0.0667251189290112,0.18563491103621618,17
Baseline,1g+6.5,1040,0.06712718581149942,0.18032201929918762,17.333333333333332
Baseline,1g+6.5,1060,0.07001321811212116,0.17422050334227596,17.666666666666668
Baseline,1g+6.5,1080,0.08738004548483684,0.1758351377512956,18
Baseline,1g+6.5,1100,0.10115156316334281,0.1784716038540937,18.333333333333332
Baseline,1g+6.5,1120,0.10797600503575215,0.18078620571788548,18.666666666666668
Baseline,1g+6.5,1140,0.11387021019899576,0.18796837666404959,19
Baseline,1g+6.5,1160,0.12370580272838497,0.19787568038245465,19.333333333333332
Baseline,1g+6.5,1180,0.124244808362992,0.19711071175937203,19.666666666666668
Baseline,1g+6.5,1200,0.12895126974401827,0.20127575932523784,20
Baseline,1g+6.5,1220,0.13275775429041842,0.20645419688484776,20.333333333333332
Baseline,Ctrl,0,0,0,0
Baseline,Ctrl,20,0.015984135458965085,0.02692675744182108,0.3333333333333333
Baseline,Ctrl,40,0.0023910675729882994,0.05091076339811443,0.6666666666666666
Baseline,Ctrl,60,-0.016885280974064918,0.045855153751449614,1
Baseline,Ctrl,80,-0.04200093397741595,0.03001387573566313,1.3333333333333333
Baseline,Ctrl,100,-0.0588442850918895,0.05824783406473264,1.6666666666666667
Baseline,Ctrl,120,-0.07920369777357564,0.0873895735135839,2
Baseline,Ctrl,140,-0.1182203593088919,0.0890529435999772,2.3333333333333335
Baseline,Ctrl,160,-0.15549478131525213,0.08223868021497645,2.6666666666666665
Baseline,Ctrl,180,-0.18374869583636333,0.07567436274654678,3
Baseline,Ctrl,200,-0.19838515054498884,0.07754766803135991,3.3333333333333335
Baseline,Ctrl,220,-0.21735637477061953,0.07609765349070194,3.6666666666666665
Baseline,Ctrl,240,-0.23820827367021466,0.079655106914642,4
Baseline,Ctrl,260,-0.2441310721371502,0.08624743177243058,4.333333333333333
Baseline,Ctrl,280,-0.24839197983213113,0.09289064005324667,4.666666666666667
Baseline,Ctrl,300,-0.24717695656820396,0.0962179676769898,5
Baseline,Ctrl,320,-0.2414131797267519,0.0999360899487029,5.333333333333333
Baseline,Ctrl,340,-0.22999600340755783,0.1042468833574552,5.666666666666667
Baseline,Ctrl,360,-0.22243293989559185,0.10477952802854165,6
Baseline,Ctrl,380,-0.21408286509929075,0.10768216751358568,6.333333333333333
Baseline,Ctrl,400,-0.21238992718529578,0.10583268795579653,6.666666666666667
Baseline,Ctrl,420,-0.2123770220296303,0.10926474609445318,7
Baseline,Ctrl,440,-0.19896815155677508,0.10738717749740295,7.333333333333333
Baseline,Ctrl,460,-0.1840997996117014,0.10954430640592022,7.666666666666667
Baseline,Ctrl,480,-0.16425939800251205,0.10693889027931625,8
Baseline,Ctrl,500,-0.15845100691446834,0.11215571470647742,8.333333333333334
Baseline,Ctrl,520,-0.15165030771476343,0.11554501049870801,8.666666666666666
Baseline,Ctrl,540,-0.12892625865264767,0.12282610247836978,9
Baseline,Ctrl,560,-0.10059878846907083,0.13026730026902997,9.333333333333334
Baseline,Ctrl,580,-0.07042425880634148,0.13230353134211556,9.666666666666666
Baseline,Ctrl,600,-0.029653491889787657,0.14081433536669097,10
Baseline,Ctrl,620,0.021517080043958865,0.14738192388828478,10.333333333333334
Baseline,Ctrl,640,0.05551379883858456,0.1328122065428568,10.666666666666666
Baseline,Ctrl,660,0.08411448484953656,0.12909256317007262,11
Baseline,Ctrl,680,0.12628033001556338,0.11369901874330411,11.333333333333334
Baseline,Ctrl,700,0.14748615410602847,0.10948528586436694,11.666666666666666
Baseline,Ctrl,720,0.18043194115724775,0.11824821741547292,12
Baseline,Ctrl,740,0.20760158391236477,0.12797908763188934,12.333333333333334
Baseline,Ctrl,760,0.2381525124983624,0.11107698279475581,12.666666666666666
Baseline,Ctrl,780,0.24916061063264736,0.12690131838977242,13
Baseline,Ctrl,800,0.26440940019161424,0.12026153826355933,13.333333333333334
Baseline,Ctrl,820,0.28070451867001933,0.1484296025262252,13.666666666666666
Baseline,Ctrl,840,0.27059833802688643,0.15951211823759215,14
Baseline,Ctrl,860,0.2804346019336302,0.17936162163987293,14.333333333333334
Baseline,Ctrl,880,0.2714413302484002,0.20141246166574647,14.666666666666666
Baseline,Ctrl,900,0.26377974885435607,0.20346642236038426,15
Baseline,Ctrl,920,0.27832408440092343,0.20186017569135378,15.333333333333334
Baseline,Ctrl,940,0.23245177809163722,0.19062222958851016,15.666666666666666
Baseline,Ctrl,960,0.2192022925083505,0.18060026912578578,16
Baseline,Ctrl,980,0.2476735629323789,0.1664667776698092,16.333333333333332
Baseline,Ctrl,1000,0.22600348708430826,0.16563479563906447,16.666666666666668
Baseline,Ctrl,1020,0.19880503662985813,0.16069508534242155,17
Baseline,Ctrl,1040,0.1788515348752016,0.17461829662001027,17.333333333333332
Baseline,Ctrl,1060,0.1926844959295164,0.19500428320523833,17.666666666666668
Baseline,Ctrl,1080,0.19660337769006148,0.2047750752863478,18
Baseline,Ctrl,1100,0.202056816418372,0.2115593782179408,18.333333333333332
Baseline,Ctrl,1120,0.19372578025766135,0.20787805152241395,18.666666666666668
Baseline,Ctrl,1140,0.2018490307870629,0.2129253237755274,19
Baseline,Ctrl,1160,0.22047517110841217,0.23150032347743363,19.333333333333332
Baseline,Ctrl,1180,0.22112941303629421,0.22174719533484608,19.666666666666668
Baseline,Ctrl,1200,0.23298786212370526,0.2335120649000654,20
Baseline,Ctrl,1220,0.23657055015575254,0.23381472605139303,20.333333333333332
Baseline,SMG,0,0,0,0
Baseline,SMG,20,0.05192509254058086,0.09179786445692098,0.3333333333333333
Baseline,SMG,40,0.07557319875646604,0.19948979531210329,0.6666666666666666
Baseline,SMG,60,0.053837363094482824,0.16389992767140613,1
Baseline,SMG,80,0.017249367041157197,0.09242440584091095,1.3333333333333333
Baseline,SMG,100,-0.05689432183252487,0.0438127575242886,1.6666666666666667
Baseline,SMG,120,-0.10092495914011289,0.06007461768362895,2
Baseline,SMG,140,-0.14603003388784486,0.08033220569162082,2.3333333333333335
Baseline,SMG,160,-0.17368962082692802,0.09662950787947239,2.6666666666666665
Baseline,SMG,180,-0.2095164907802235,0.10753661417120372,3
Baseline,SMG,200,-0.20438535332098862,0.09339884134536387,3.3333333333333335
Baseline,SMG,220,-0.20500735258137248,0.09162464817204628,3.6666666666666665
