gene,log2FoldChange,padj,KO,def,timepoint,condition,dose,contrast
HC660_RS18560,-1.41507517391697,0.00700271903619088,NA,,3 h,SMG,13,SMG_13
HC660_RS18900,-1.55053458842059,0.0185396355601396,NA,,3 h,SMG,13,SMG_13
HC660_RS19380,-1.60065203642257,0.0262712987190432,NA,,3 h,SMG,13,SMG_13
HC660_RS19530,-2.58326816899032,0.00124219328295282,NA,,3 h,SMG,13,SMG_13
HC660_RS19540,-1.28733420813154,0.00404752563518894,K15973,"mhqR; MarR family transcriptional regulator, 2-MHQ and catechol-resistance regulon repressor",3 h,SMG,13,SMG_13
HC660_RS19845,-1.3602855004536,0.0150471136034124,NA,,3 h,SMG,13,SMG_13
HC660_RS19850,-1.26131979992297,0.0173195240421622,K03781,"katE, CAT, catB, srpA; catalase [EC:1.11.1.6]",3 h,SMG,13,SMG_13
HC660_RS19945,-1.6472172442178,0.0311293904639227,NA,,3 h,SMG,13,SMG_13
HC660_RS20030,-1.67536110098203,0.0181634106019648,K09683,hutP; hut operon positive regulatory protein,3 h,SMG,13,SMG_13
HC660_RS20260,-1.22298851013311,0.025276839566234,K06609,"iolT; MFS transporter, SP family, major inositol transporter",3 h,SMG,13,SMG_13
HC660_RS20320,-1.05349590312876,0.0462549207554078,NA,,3 h,SMG,13,SMG_13
HC660_RS20610,-2.18823735510312,0.0068042878963157,NA,,3 h,SMG,13,SMG_13
HC660_RS20695,-1.9208476420117,0.0019030295176712,NA,,3 h,SMG,13,SMG_13
HC660_RS00125,-3.14139266949311,1.91056398826092e-5,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS00650,1.11865201643013,0.0247895428093493,K02601,nusG; transcription termination/antitermination protein NusG,3 h,SMG,19.5,SMG_19.5
HC660_RS01075,-1.07824093061456,0.0280630874156352,K07106,murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126],3 h,SMG,19.5,SMG_19.5
HC660_RS01630,-1.17822776214068,0.00994374641388674,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS02520,-2.89143851081459,2.31688735776712e-6,K11103,dctA; aerobic C4-dicarboxylate transport protein,3 h,SMG,19.5,SMG_19.5
HC660_RS02975,1.56286540382115,0.0028497897664803,K03704,cspA; cold shock protein,3 h,SMG,19.5,SMG_19.5
HC660_RS02980,1.67900111336368,0.0213804019191319,K03704,cspA; cold shock protein,3 h,SMG,19.5,SMG_19.5
HC660_RS04355,-1.50534584570869,0.0194142929883494,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS04455,-1.02976749573236,0.0237398173891132,K21405,"acoR; sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR",3 h,SMG,19.5,SMG_19.5
HC660_RS04650,1.07760987594394,0.0407528754981057,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS05080,1.55866552079128,1.61591526814659e-5,K03704,cspA; cold shock protein,3 h,SMG,19.5,SMG_19.5
HC660_RS05265,-1.35408976987618,0.0190106250715238,K03294,"TC.APA; basic amino acid/polyamine antiporter, APA family",3 h,SMG,19.5,SMG_19.5
HC660_RS06280,-1.12093286490194,0.0290377748641651,K15580,"oppA, mppA; oligopeptide transport system substrate-binding protein",3 h,SMG,19.5,SMG_19.5
HC660_RS06435,1.20729769303873,0.0194142929883494,K00208,fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],3 h,SMG,19.5,SMG_19.5
HC660_RS06710,-1.22923391818189,0.00788699008710781,K00123,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]",3 h,SMG,19.5,SMG_19.5
HC660_RS06715,-1.04466315233384,0.0418601606386686,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS07725,1.04014825997375,2.4172707003095e-4,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS08485,-1.64833986746544,0.0199478965997358,K00958,"sat, met3; sulfate adenylyltransferase [EC:2.7.7.4]",3 h,SMG,19.5,SMG_19.5
HC660_RS08490,-1.66453391317904,0.0120368451037145,K00860,cysC; adenylylsulfate kinase [EC:2.7.1.25],3 h,SMG,19.5,SMG_19.5
HC660_RS08495,-1.30404555183646,0.0451907422741972,K02303,cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107],3 h,SMG,19.5,SMG_19.5
HC660_RS08500,-1.45442062018912,0.00439901031390208,K03795,cbiX; sirohydrochlorin cobaltochelatase [EC:4.99.1.3],3 h,SMG,19.5,SMG_19.5
HC660_RS08505,-1.09061475503127,0.0196954277631607,K24866,sirC; precorrin-2 dehydrogenase [EC:1.3.1.76],3 h,SMG,19.5,SMG_19.5
HC660_RS08740,-1.12522453284835,0.00994374641388674,K01902,sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],3 h,SMG,19.5,SMG_19.5
HC660_RS09180,-1.81973294903418,0.0120368451037145,K00060,tdh; threonine 3-dehydrogenase [EC:1.1.1.103],3 h,SMG,19.5,SMG_19.5
HC660_RS09185,-1.90799910992214,0.00276664897002015,K00639,"kbl, GCAT; glycine C-acetyltransferase [EC:2.3.1.29]",3 h,SMG,19.5,SMG_19.5
HC660_RS09400,1.11773782011253,0.0104208565235955,K03713,"glnR; MerR family transcriptional regulator, glutamine synthetase repressor",3 h,SMG,19.5,SMG_19.5
HC660_RS10410,-1.57760809075734,2.0570650226366e-4,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS12225,-1.1003176483996,0.0327299142605719,K00605,"gcvT, AMT; glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]",3 h,SMG,19.5,SMG_19.5
HC660_RS12445,1.73695028639243,0.00436388024310571,K02040,pstS; phosphate transport system substrate-binding protein,3 h,SMG,19.5,SMG_19.5
HC660_RS21105,-3.0347137284677,1.5588248249459e-4,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS12980,-2.2201948332395,1.6884305519605e-4,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS13115,-2.14271179988087,0.00565935071967625,K03332,fruA; fructan beta-fructosidase [EC:3.2.1.80],3 h,SMG,19.5,SMG_19.5
HC660_RS13230,-1.40137331791358,0.0139654271446069,K17217,mccB; cystathionine gamma-lyase / homocysteine desulfhydrase [EC:4.4.1.1 4.4.1.2],3 h,SMG,19.5,SMG_19.5
HC660_RS13370,-1.74107204086521,7.0132692168118e-7,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS14275,-1.55796986971775,0.0190106250715238,K01994,"gerE; LuxR family transcriptional regulator, transcriptional regulator of spore coat protein",3 h,SMG,19.5,SMG_19.5
HC660_RS14285,-1.24637678063374,0.0100278346709138,K00240,"sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]",3 h,SMG,19.5,SMG_19.5
HC660_RS14290,-1.00523645859673,0.0436205693155822,K00239,"sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]",3 h,SMG,19.5,SMG_19.5
HC660_RS14330,-1.04293443888707,0.0247895428093493,K03522,"fixB, etfA; electron transfer flavoprotein alpha subunit",3 h,SMG,19.5,SMG_19.5
HC660_RS14430,-1.39241329023617,0.0120368451037145,K06200,cstA; carbon starvation protein,3 h,SMG,19.5,SMG_19.5
HC660_RS15090,-1.65860690651025,0.00701749204836693,K25673,ytcQ; polygalacturonan/rhamnogalacturonan transport system substrate-binding protein,3 h,SMG,19.5,SMG_19.5
HC660_RS15145,-1.67014455647148,0.0432922742344716,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS15295,-3.22112108033284,2.77816285568859e-5,K01610,pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],3 h,SMG,19.5,SMG_19.5
HC660_RS15790,-1.05506428096715,0.0487973465164178,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS15970,1.23633433619258,1.0272881284182e-4,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS16080,-1.24062423256267,0.0190106250715238,K00259,ald; alanine dehydrogenase [EC:1.4.1.1],3 h,SMG,19.5,SMG_19.5
HC660_RS16375,-1.39095783378211,0.04744999339414,K00839,pucG; (S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112],3 h,SMG,19.5,SMG_19.5
HC660_RS16525,-1.59916171442449,0.0122578433957114,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS16535,-1.95723038240334,0.00131337737393447,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS16850,-1.26404307093784,0.0407528754981057,K00381,cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2],3 h,SMG,19.5,SMG_19.5
HC660_RS17275,-2.12671269827007,1.6884305519605e-4,K03303,"lutP, lctP; lactate permease",3 h,SMG,19.5,SMG_19.5
HC660_RS18305,-1.49022379452087,0.025048090932034,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS18420,1.14050016658821,0.0138716045089745,K02372,fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59],3 h,SMG,19.5,SMG_19.5
HC660_RS18680,1.31926780183542,0.00287098313871128,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS18885,-3.26333572630844,4.62027026684462e-5,K08264,hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1],3 h,SMG,19.5,SMG_19.5
HC660_RS19190,-1.33376727447883,0.0315315754011783,K00294,E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88],3 h,SMG,19.5,SMG_19.5
HC660_RS19195,-2.04664624392478,0.007082099181802,K00260,"gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]",3 h,SMG,19.5,SMG_19.5
HC660_RS19605,-1.21367349247577,0.0319689453652338,K02759,"celC, chbA; cellobiose PTS system EIIA component [EC:2.7.1.196 2.7.1.205]",3 h,SMG,19.5,SMG_19.5
HC660_RS19615,-1.03729527970036,0.0222988566590861,K02760,"celA, chbB; cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205]",3 h,SMG,19.5,SMG_19.5
HC660_RS19945,-1.57006732849127,0.0418601606386686,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS20030,-2.01889706573505,0.00638097308756034,K09683,hutP; hut operon positive regulatory protein,3 h,SMG,19.5,SMG_19.5
HC660_RS20085,-1.04730743516092,0.0329962951762005,K04023,eutH; ethanolamine transporter,3 h,SMG,19.5,SMG_19.5
HC660_RS20090,-2.02605500778166,1.3562239897286e-4,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS20095,-1.86905086910044,0.00276618489697517,K21613,scmP; N-acetylcysteine deacetylase [EC:3.5.1.-],3 h,SMG,19.5,SMG_19.5
HC660_RS20100,-1.88871185747439,0.00597989077918884,K02028,ABC.PA.A; polar amino acid transport system ATP-binding protein [EC:7.4.2.1],3 h,SMG,19.5,SMG_19.5
HC660_RS20105,-1.88237088260531,0.0138716045089745,K16962,yxeN; putative S-methylcysteine transport system permease protein,3 h,SMG,19.5,SMG_19.5
HC660_RS20110,-1.87026345321586,0.0023475459015443,K16961,yxeM; putative S-methylcysteine transport system substrate-binding protein,3 h,SMG,19.5,SMG_19.5
HC660_RS20115,-1.56066874746792,0.0104208565235955,K24117,scmL; S-(2-succino)cysteine N-acetyltransferase [EC:2.3.1.-],3 h,SMG,19.5,SMG_19.5
HC660_RS20120,-1.50526501456254,0.0239269516103461,K24116,scmK; N-acetyl-S-(2-succino)cysteine monooxygenase [EC:1.14.-.-],3 h,SMG,19.5,SMG_19.5
HC660_RS20195,-1.44208253969842,0.00439901031390208,K06606,iolI; 2-keto-myo-inositol isomerase [EC:5.3.99.11],3 h,SMG,19.5,SMG_19.5
HC660_RS20200,-2.12722314929659,1.6884305519605e-4,K06605,iolH; myo-inositol catabolism protein IolH,3 h,SMG,19.5,SMG_19.5
HC660_RS20205,-2.33263456044301,2.4172707003095e-4,K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],3 h,SMG,19.5,SMG_19.5
HC660_RS20210,-2.19502166015525,0.00439901031390208,K06610,"iolF; MFS transporter, SP family, inositol transporter",3 h,SMG,19.5,SMG_19.5
HC660_RS20215,-2.12846136485374,0.00788699008710781,K03335,iolE; inosose dehydratase [EC:4.2.1.44],3 h,SMG,19.5,SMG_19.5
HC660_RS20220,-2.24366296165859,0.00489536645982838,K03336,"iolD; 3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing) [EC:3.7.1.22]",3 h,SMG,19.5,SMG_19.5
HC660_RS20225,-1.50239889050196,0.0247895428093493,K03338,iolC; 5-dehydro-2-deoxygluconokinase [EC:2.7.1.92],3 h,SMG,19.5,SMG_19.5
HC660_RS20230,-1.35638865209191,0.0222988566590861,K03337,iolB; 5-deoxy-glucuronate isomerase [EC:5.3.1.30],3 h,SMG,19.5,SMG_19.5
HC660_RS20695,-1.49952675764762,0.0120149562327182,NA,,3 h,SMG,19.5,SMG_19.5
HC660_RS20905,1.13857966655014,0.0120368451037145,K03536,rnpA; ribonuclease P protein component [EC:3.1.26.5],3 h,SMG,19.5,SMG_19.5
HC660_RS00125,-1.73875970241988,0.0432177501779331,NA,,3 h,SMG,6.5,SMG_6.5
HC660_RS02520,-1.78669165244154,0.00962544224234844,K11103,dctA; aerobic C4-dicarboxylate transport protein,3 h,SMG,6.5,SMG_6.5
HC660_RS05080,1.63094818764478,3.33779445694168e-6,K03704,cspA; cold shock protein,3 h,SMG,6.5,SMG_6.5
HC660_RS21105,-2.69444287341725,0.0015364251634028,NA,,3 h,SMG,6.5,SMG_6.5
HC660_RS12980,-2.71837439113645,3.33779445694168e-6,NA,,3 h,SMG,6.5,SMG_6.5
HC660_RS13370,-1.14303552995403,0.00245701310247421,NA,,3 h,SMG,6.5,SMG_6.5
HC660_RS19600,-1.23283871967947,0.0316206622278036,K01222,"E3.2.1.86A, celF; 6-phospho-beta-glucosidase [EC:3.2.1.86]",3 h,SMG,6.5,SMG_6.5
HC660_RS19610,-1.37799113172057,0.0324016522923168,K02761,"celB, chbC; cellobiose PTS system EIIC component",3 h,SMG,6.5,SMG_6.5
HC660_RS19615,-1.11071900839646,0.0322713985725406,K02760,"celA, chbB; cellobiose PTS system EIIB component [EC:2.7.1.196 2.7.1.205]",3 h,SMG,6.5,SMG_6.5
HC660_RS20195,-1.63226149194286,0.0015364251634028,K06606,iolI; 2-keto-myo-inositol isomerase [EC:5.3.99.11],3 h,SMG,6.5,SMG_6.5
HC660_RS20200,-2.0950332212997,4.7690372614275e-4,K06605,iolH; myo-inositol catabolism protein IolH,3 h,SMG,6.5,SMG_6.5
HC660_RS20205,-2.04303737980639,0.00273442563196313,K00010,iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],3 h,SMG,6.5,SMG_6.5
HC660_RS20210,-1.8624280830728,0.0322713985725406,K06610,"iolF; MFS transporter, SP family, inositol transporter",3 h,SMG,6.5,SMG_6.5
HC660_RS00880,-1.11808837092762,0.0278360503182604,K16787,ecfA2; energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-],10 h,1g,13,1g_13
HC660_RS00885,-1.04270379003127,0.0191489375704068,K16785,ecfT; energy-coupling factor transport system permease protein,10 h,1g,13,1g_13
HC660_RS00890,-1.35042413213797,0.0128145040223843,K06173,"truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]",10 h,1g,13,1g_13
HC660_RS01060,1.13712579808434,0.0305136454259997,K21469,pbp4b; serine-type D-Ala-D-Ala carboxypeptidase [EC:3.4.16.4],10 h,1g,13,1g_13
HC660_RS01865,-1.02841814059026,0.0129895469630628,K26138,nasE; nitrite reductase [NAD(P)H] small subunit [EC:1.7.1.4],10 h,1g,13,1g_13
HC660_RS01870,-1.18009485911387,0.00118158401498954,K26139,"nasD, nasB; nitrite reductase [NAD(P)H] large subunit [EC:1.7.1.4]",10 h,1g,13,1g_13
HC660_RS02975,-1.35560998037741,0.0265096100773145,K03704,cspA; cold shock protein,10 h,1g,13,1g_13
HC660_RS02980,-2.28271880115669,6.2102327314094e-4,K03704,cspA; cold shock protein,10 h,1g,13,1g_13
HC660_RS03400,1.19385122375223,0.0186917245285861,K04078,"groES, HSPE1; chaperonin GroES",10 h,1g,13,1g_13
HC660_RS04200,-2.10178057804117,0.00129139903586894,K03319,"TC.DASS; divalent anion:Na+ symporter, DASS family",10 h,1g,13,1g_13
HC660_RS05030,-1.7867417196272,2.2610136360774e-4,NA,,10 h,1g,13,1g_13
HC660_RS05840,-1.5823301342727,8.054985583742e-4,K07120,K07120; uncharacterized protein,10 h,1g,13,1g_13
HC660_RS07145,1.04337919774097,0.00885978792645059,K16199,dppE; dipeptide transport system substrate-binding protein,10 h,1g,13,1g_13
HC660_RS07185,-2.30105507500144,1.64181106214424e-7,K05916,"hmp, YHB1; nitric oxide dioxygenase [EC:1.14.12.17]",10 h,1g,13,1g_13
HC660_RS07190,-1.79619095418042,0.0135557586941526,NA,,10 h,1g,13,1g_13
HC660_RS07195,-2.10727768874568,1.7763532591283e-4,NA,,10 h,1g,13,1g_13
HC660_RS07265,1.14646022419304,0.0484462097008533,K00549,metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14],10 h,1g,13,1g_13
HC660_RS07620,-2.73989384571335,1.3123172252437e-4,K20118,"ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]",10 h,1g,13,1g_13
HC660_RS07755,1.69838858761157,0.0162880069064924,NA,,10 h,1g,13,1g_13
HC660_RS08225,-1.11405436080008,0.0201272650785741,K07040,"yceD, ylbN; DUF177 domain-containing protein",10 h,1g,13,1g_13
HC660_RS08430,-1.69668887334609,0.0155292951864157,K02824,"uraA, pyrP; uracil permease",10 h,1g,13,1g_13
HC660_RS08435,-1.76079250297612,0.0146582878061666,K00609,"pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]",10 h,1g,13,1g_13
HC660_RS08675,-1.05825685112741,0.012015667657509,K09787,K09787; uncharacterized protein,10 h,1g,13,1g_13
HC660_RS11695,-1.07117467362717,0.00180411615201417,K01744,aspA; aspartate ammonia-lyase [EC:4.3.1.1],10 h,1g,13,1g_13
HC660_RS12195,-1.15498442962162,0.0314398636584167,K07001,K07001; NTE family protein,10 h,1g,13,1g_13
HC660_RS12800,-1.44889780834779,0.00147141830065608,K06371,sda; developmental checkpoint coupling sporulation initiation to replication initiation,10 h,1g,13,1g_13
HC660_RS14525,-2.93765076647955,8.76480455281724e-5,K05339,lrgB; holin-like protein LrgB,10 h,1g,13,1g_13
HC660_RS14530,-4.19210149335157,1.86576523208668e-6,K05338,lrgA; holin-like protein,10 h,1g,13,1g_13
HC660_RS14850,-1.14140971646213,0.0135557586941526,K02986,"RP-S4, NAM9, rpsD; small subunit ribosomal protein S4",10 h,1g,13,1g_13
HC660_RS15915,-2.21663670833782,4.46503480220353e-5,K11616,maeN; malate:Na+ symporter,10 h,1g,13,1g_13
HC660_RS17145,-1.5080222718012,0.0155292951864157,K00134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]",10 h,1g,13,1g_13
HC660_RS17150,-1.96370887508387,0.0128145040223843,K05311,cggR; central glycolytic genes regulator,10 h,1g,13,1g_13
HC660_RS18295,1.20130521890951,9.5260970942658e-4,NA,,10 h,1g,13,1g_13
HC660_RS19455,-1.73393622162321,0.00357218304768232,K06518,cidA; holin-like protein,10 h,1g,13,1g_13
HC660_RS19460,-2.09766834250048,5.7009293876586e-4,NA,,10 h,1g,13,1g_13
HC660_RS19685,-1.30375280257811,0.0135557586941526,K16012,"cydC; ATP-binding cassette, subfamily C, bacterial CydC",10 h,1g,13,1g_13
HC660_RS20050,1.08855397886887,0.0128145040223843,K01479,hutG; formiminoglutamase [EC:3.5.3.8],10 h,1g,13,1g_13
HC660_RS20160,1.16270930217236,0.0152886187726965,K25308,"fhuD, ftsB, siuD; ferric hydroxamate/heme transport system substrate-binding protein",10 h,1g,13,1g_13
HC660_RS20355,-1.97240598162793,0.0246441029502984,K11476,"gntR; GntR family transcriptional regulator, gluconate operon transcriptional repressor",10 h,1g,13,1g_13
HC660_RS20360,-1.58873657573593,0.0234252185588628,K25031,gntK; gluconokinase [EC:2.7.1.12],10 h,1g,13,1g_13
HC660_RS20365,-1.37284186591033,0.0307303545582448,K03299,"TC.GNTP; gluconate:H+ symporter, GntP family",10 h,1g,13,1g_13
HC660_RS20370,-1.07928961130342,0.0204783431134572,K00033,"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]",10 h,1g,13,1g_13
HC660_RS00280,-1.22945961491518,0.0244345240530431,NA,,10 h,1g,19.5,1g_19.5
HC660_RS01745,-1.74445296770893,0.00393522285149331,K03303,"lutP, lctP; lactate permease",10 h,1g,19.5,1g_19.5
HC660_RS01825,1.10362077406494,0.0133582135758201,K00294,E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88],10 h,1g,19.5,1g_19.5
HC660_RS01860,-1.08058628569931,0.00287216401798018,K13542,cobA-hemD; uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],10 h,1g,19.5,1g_19.5
HC660_RS01865,-1.13453242433776,0.00393522285149331,K26138,nasE; nitrite reductase [NAD(P)H] small subunit [EC:1.7.1.4],10 h,1g,19.5,1g_19.5
HC660_RS01870,-1.26514206163489,5.1647643989768e-4,K26139,"nasD, nasB; nitrite reductase [NAD(P)H] large subunit [EC:1.7.1.4]",10 h,1g,19.5,1g_19.5
HC660_RS02250,-1.60231830034924,2.95177086412958e-5,K21601,"ycnK; DeoR family transcriptional regulator, copper-sensing transcriptional repressor",10 h,1g,19.5,1g_19.5
HC660_RS02255,-1.4892242813705,0.0154166859988187,NA,,10 h,1g,19.5,1g_19.5
HC660_RS02975,-1.98203995672718,7.1505784015921e-4,K03704,cspA; cold shock protein,10 h,1g,19.5,1g_19.5
HC660_RS02980,-2.90834615176501,1.04360734878195e-5,K03704,cspA; cold shock protein,10 h,1g,19.5,1g_19.5
HC660_RS03520,-1.37728041785678,0.00226986205283512,NA,,10 h,1g,19.5,1g_19.5
HC660_RS04125,-1.45785906994024,0.00287216401798018,K21902,"yfmP; MerR family transcriptional regulator, repressor of the yfmOP operon",10 h,1g,19.5,1g_19.5
HC660_RS04200,-2.49266858434962,1.5370040453697e-4,K03319,"TC.DASS; divalent anion:Na+ symporter, DASS family",10 h,1g,19.5,1g_19.5
HC660_RS04650,-1.34087966994152,0.00942827732300147,NA,,10 h,1g,19.5,1g_19.5
HC660_RS04740,-1.10729634531363,0.00752005464991126,K09825,"perR; Fur family transcriptional regulator, peroxide stress response regulator",10 h,1g,19.5,1g_19.5
HC660_RS05350,-1.02587935645506,0.0219446309113682,K01126,"E3.1.4.46, glpQ, ugpQ; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]",10 h,1g,19.5,1g_19.5
HC660_RS05530,-1.13717116392218,0.0428278202872194,NA,,10 h,1g,19.5,1g_19.5
HC660_RS05840,-1.0833960356446,0.020789310793022,K07120,K07120; uncharacterized protein,10 h,1g,19.5,1g_19.5
HC660_RS06495,-1.54934977482997,0.0087521091226322,NA,,10 h,1g,19.5,1g_19.5
HC660_RS06945,-1.42177513890077,0.00147985640458209,NA,,10 h,1g,19.5,1g_19.5
HC660_RS06950,-1.14834694960858,0.0140945293171937,NA,,10 h,1g,19.5,1g_19.5
HC660_RS06955,-1.35032985175226,0.013614498093202,NA,,10 h,1g,19.5,1g_19.5
HC660_RS07145,1.12810599512294,0.00287216401798018,K16199,dppE; dipeptide transport system substrate-binding protein,10 h,1g,19.5,1g_19.5
HC660_RS07185,-2.1755189600063,1.74329052040334e-6,K05916,"hmp, YHB1; nitric oxide dioxygenase [EC:1.14.12.17]",10 h,1g,19.5,1g_19.5
HC660_RS07190,-1.50577870720975,0.0255815635719795,NA,,10 h,1g,19.5,1g_19.5
HC660_RS07195,-1.62053619336845,0.0039824285688574,NA,,10 h,1g,19.5,1g_19.5
HC660_RS07520,-1.57319643081873,0.00793754105684447,K15973,"mhqR; MarR family transcriptional regulator, 2-MHQ and catechol-resistance regulon repressor",10 h,1g,19.5,1g_19.5
HC660_RS21225,1.01120295433026,0.0351145740700734,NA,,10 h,1g,19.5,1g_19.5
HC660_RS07620,-2.40083390239784,7.9527262293986e-4,K20118,"ptsG, glcA, glcB; glucose PTS system EIICBA or EIICB component [EC:2.7.1.199]",10 h,1g,19.5,1g_19.5
HC660_RS07725,-1.06703789255741,0.0129556222870992,NA,,10 h,1g,19.5,1g_19.5
HC660_RS07945,-1.00039077020859,0.0129556222870992,NA,,10 h,1g,19.5,1g_19.5
HC660_RS08125,-1.70034844215489,5.19007279078692e-5,K02259,"COX15, ctaA; heme a synthase [EC:1.17.99.9]",10 h,1g,19.5,1g_19.5
HC660_RS08185,-1.13733723214207,0.0477612129692349,NA,,10 h,1g,19.5,1g_19.5
HC660_RS08225,-1.69558410234681,2.3443223806746e-4,K07040,"yceD, ylbN; DUF177 domain-containing protein",10 h,1g,19.5,1g_19.5
HC660_RS08675,-1.09356608878946,0.00514066095855501,K09787,K09787; uncharacterized protein,10 h,1g,19.5,1g_19.5
HC660_RS09035,-1.10509695994351,0.0274852189106593,K02956,"RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15",10 h,1g,19.5,1g_19.5
HC660_RS09615,-1.62274555701488,0.0256547474128635,K09976,K09976; uncharacterized protein,10 h,1g,19.5,1g_19.5
HC660_RS09635,-1.30908147413063,0.00786477434066638,NA,,10 h,1g,19.5,1g_19.5
HC660_RS09640,-1.20421055215714,0.00345286683518995,NA,,10 h,1g,19.5,1g_19.5
HC660_RS09915,1.40025403511482,0.020789310793022,K00266,gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13],10 h,1g,19.5,1g_19.5
HC660_RS09920,1.43345515926536,0.0222709575082365,K00265,gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13],10 h,1g,19.5,1g_19.5
HC660_RS10425,-1.04823801671173,0.0342411098530236,NA,,10 h,1g,19.5,1g_19.5
HC660_RS10450,-1.31103531443632,0.00371686420241152,K03308,"TC.NSS; neurotransmitter:Na+ symporter, NSS family",10 h,1g,19.5,1g_19.5
HC660_RS10730,-1.06107025966478,0.0358531691122631,NA,,10 h,1g,19.5,1g_19.5
HC660_RS10850,-1.62939677135028,0.010382486351442,K03704,cspA; cold shock protein,10 h,1g,19.5,1g_19.5
HC660_RS10855,-1.23905570915145,0.0044726788118057,NA,,10 h,1g,19.5,1g_19.5
HC660_RS11045,-1.00483444573232,0.0371585284008166,NA,,10 h,1g,19.5,1g_19.5
HC660_RS11060,-1.10055770345093,7.0814325662902e-4,NA,,10 h,1g,19.5,1g_19.5
HC660_RS11440,-1.62788117804063,0.00267410365109392,K05337,fer; ferredoxin,10 h,1g,19.5,1g_19.5
HC660_RS11670,-1.38308172340655,5.1647643989768e-4,K03711,"fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator",10 h,1g,19.5,1g_19.5
HC660_RS12210,-1.44406445256361,0.0147574271979023,K03972,pspE; thiosulfate sulfurtransferase [EC:2.8.1.1],10 h,1g,19.5,1g_19.5
HC660_RS12800,-1.7288373804486,1.8685935701301e-4,K06371,sda; developmental checkpoint coupling sporulation initiation to replication initiation,10 h,1g,19.5,1g_19.5
HC660_RS21105,1.18690371538012,0.0484858315384895,NA,,10 h,1g,19.5,1g_19.5
HC660_RS13255,-1.32911936273196,0.0039824285688574,NA,,10 h,1g,19.5,1g_19.5
