gene,log2FoldChange,padj,KO,def,timepoint,condition,dose,contrast
HC660_RS07185,-1.33689769049667,0.00174195807484034,K05916,"hmp, YHB1; nitric oxide dioxygenase [EC:1.14.12.17]",10 h,1g,6.5,1g_6.5
HC660_RS07225,-1.00424624017157,0.0304582027385419,K00931,proB; glutamate 5-kinase [EC:2.7.2.11],10 h,1g,6.5,1g_6.5
HC660_RS07440,-1.42725584239091,0.00674974792076903,NA,,10 h,1g,6.5,1g_6.5
HC660_RS07755,1.28118013137888,0.033070609172006,NA,,10 h,1g,6.5,1g_6.5
HC660_RS07885,-1.14317187810564,0.0251611820472439,NA,,10 h,1g,6.5,1g_6.5
HC660_RS08185,-1.53006690076976,0.00604191180430285,NA,,10 h,1g,6.5,1g_6.5
HC660_RS08800,1.05360375652064,0.002220319428344,K02410,fliG; flagellar motor switch protein FliG,10 h,1g,6.5,1g_6.5
HC660_RS08825,1.07238170815384,0.0242663415187026,K02414,fliK; flagellar hook-length control protein FliK,10 h,1g,6.5,1g_6.5
HC660_RS08830,1.08815406555396,0.00951326174792773,K02389,flgD; flagellar basal-body rod modification protein FlgD,10 h,1g,6.5,1g_6.5
HC660_RS08865,1.00336230344693,0.00955172835012778,K02418,"fliO, fliZ; flagellar protein FliO/FliZ",10 h,1g,6.5,1g_6.5
HC660_RS08870,1.11490326842238,0.00763442335290918,K02419,fliP; flagellar biosynthesis protein FliP,10 h,1g,6.5,1g_6.5
HC660_RS08875,1.06706449871552,0.0128610959736972,K02420,fliQ; flagellar biosynthesis protein FliQ,10 h,1g,6.5,1g_6.5
HC660_RS08880,1.30804716170117,0.0021382621757923,K02421,fliR; flagellar biosynthesis protein FliR,10 h,1g,6.5,1g_6.5
HC660_RS08885,1.64388301821653,7.5047750625392e-4,K02401,flhB; flagellar biosynthesis protein FlhB,10 h,1g,6.5,1g_6.5
HC660_RS08890,1.21929950423086,0.0115679334227012,K02400,flhA; flagellar biosynthesis protein FlhA,10 h,1g,6.5,1g_6.5
HC660_RS08895,1.40634591812065,0.00604191180430285,K02404,flhF; flagellar biosynthesis protein FlhF,10 h,1g,6.5,1g_6.5
HC660_RS08900,1.07006616830473,0.0235448720070106,K04562,"flhG, fleN; flagellar biosynthesis protein FlhG",10 h,1g,6.5,1g_6.5
HC660_RS08905,1.33269624427737,0.00951326174792773,K03412,"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]",10 h,1g,6.5,1g_6.5
HC660_RS09480,1.06013130514221,0.0216510221635319,NA,,10 h,1g,6.5,1g_6.5
HC660_RS09955,-1.92064560397322,8.4386230767985e-4,NA,,10 h,1g,6.5,1g_6.5
HC660_RS10360,-1.43198096092775,0.015665636555667,K08976,K08976; putative membrane protein,10 h,1g,6.5,1g_6.5
HC660_RS10365,-1.39324274214327,0.0120214596430851,NA,,10 h,1g,6.5,1g_6.5
HC660_RS10420,-1.63350879704835,3.9610396461493e-4,K06204,dksA; RNA polymerase-binding transcription factor,10 h,1g,6.5,1g_6.5
HC660_RS10850,-1.49975567714879,0.00935366716025586,K03704,cspA; cold shock protein,10 h,1g,6.5,1g_6.5
HC660_RS11935,-1.67584532366163,2.5628020449252e-4,K19578,"bmr; MFS transporter, DHA1 family, multidrug resistance protein",10 h,1g,6.5,1g_6.5
HC660_RS21095,-2.1294026697951,6.75652045688502e-6,NA,,10 h,1g,6.5,1g_6.5
HC660_RS12315,-2.05533037928985,1.79896488203802e-5,NA,,10 h,1g,6.5,1g_6.5
